Código Dane municipio,Municipio,Año,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
17001,MANIZALES,2007,9268,6424,10848,1.69
17042,ANSERMA,2007,7125,5485,7131,1.3
17541,PENSILVANIA,2007,5931,59,5908,1.0
17174,CHINCHINA,2007,5632,5631,9203,1.63
17524,PALESTINA,2007,4777,44,6160,1.4
17662,SAMANA,2007,4628,45,4153,0.92
17013,AGUADAS,2007,4626,4173,4063,0.97
17444,MARQUETALIA,2007,4621,4178,4471,1.07
17486,NEIRA,2007,4332,40,4326,1.08
17513,PACORA,2007,401,40,4182,1.05
17433,MANZANARES,2007,3984,3731,3743,1.0
17614,RIOSUCIO,2007,3781,3695,3111,0.84
17616,RISARALDA,2007,3772,275,3575,1.3
17088,BELALCAZAR,2007,3734,3196,3835,1.2
17653,SALAMINA,2007,3064,29,2716,0.94
17272,FILADELFIA,2007,2787,2604,3162,1.21
01705,ARANZAZU,2007,2597,2222,2254,1.01
17665,SAN JOSE,2007,2264,205,2253,1.1
17777,SUPIA,2007,2021,192,1938,1.01
17873,VILLAMARIA,2007,1788,1593,2508,1.57
17388,LA MERCED,2007,1321,1219,1257,1.03
17442,MARMATO,2007,8590,6990,745,1.07
17877,VITERBO,2007,7460,6700,782,1.17
17867,VICTORIA,2007,4250,2480,343,1.38
17446,MARULANDA,2007,2100,2050,148,0.72
17001,MANIZALES,2008,8536,6379,9706,1.52
17042,ANSERMA,2008,6967,4985,5982,1.2
17541,PENSILVANIA,2008,59,59,5984,1.01
17174,CHINCHINA,2008,5177,4477,7263,1.62
17013,AGUADAS,2008,4604,4085,3458,0.85
17662,SAMANA,2008,4576,4576,4206,0.92
17524,PALESTINA,2008,4499,4474,5596,1.25
17444,MARQUETALIA,2008,4451,4247,4528,1.07
17486,NEIRA,2008,4332,3217,4612,1.43
17513,PACORA,2008,4064,3583,3879,1.08
17433,MANZANARES,2008,4032,3705,3577,0.97
17614,RIOSUCIO,2008,3757,3757,3151,0.84
17088,BELALCAZAR,2008,3754,3225,4656,1.44
17616,RISARALDA,2008,343,2895,3474,1.2
17653,SALAMINA,2008,3066,288,2596,0.9
17272,FILADELFIA,2008,2735,2132,2959,1.39
01705,ARANZAZU,2008,2409,2154,2040,0.95
17665,SAN JOSE,2008,2222,192,2688,1.4
17777,SUPIA,2008,1952,1952,1963,1.01
17873,VILLAMARIA,2008,1746,1223,1553,1.27
17388,LA MERCED,2008,1217,9930,860,0.87
17877,VITERBO,2008,8940,8940,886,0.99
17442,MARMATO,2008,8100,8080,781,0.97
