variable,0,1,2,3
ndvi_min_m12,0.04402383812994854,-0.015122340273631461,0.05549936608292659,-0.006532751757140655
et_potencial_mm_std,0.0807865955894046,0.08547228136128275,0.05512064249692917,-0.032859107548069096
temp_mean_z_mean_anual,0.05349782026225409,0.08193139296118086,0.04631127688791495,0.030855599280122856
ndvi_mean_m05,-0.0489545927100748,0.023106189708364245,0.03522471691486957,0.04863106081497273
et_potencial_mm_m01,-0.12004878924423824,-0.006396674508796735,-0.016174585251520834,-0.11886407251577596
precip_max_mm_m07,0.00023420072626437907,0.006083253183104311,0.058333118606675775,0.02432012193916061
ndvi_min_m01,-0.02511204012438999,-0.023792117204912835,-0.02019442187359428,-0.011713439249378434
precip_max_mm_m08,-0.06821122140084047,0.054302999163665315,0.02299098761869605,0.01813745411716784
et_real_mm_std,0.014178544567832995,-0.05012114237714408,-0.0345281463977627,0.1422844741835889
balance_hidrico_mm_min_m01_06,-0.058406039719323746,-0.008176879397097929,0.031122152671421755,0.030854275244890844
ndvi_mean_std,-0.029684266825384577,-0.04924233505817695,0.02941537309539196,-0.07341362107121722
ndvi_mean_m02,0.014569978054599385,-0.009357966821399668,-0.008349130003205868,0.027846244935367345
