municipio,anio,precip_mm_sum,precip_mm_mean,precip_mm_std,temp_mean_mean,temp_mean_std,ndvi_mean_mean,ndvi_mean_min,et_real_mm_sum,balance_hidrico_mm_mean,balance_hidrico_mm_min
Aguadas,2025,2846.0272328043848,237.16893606703206,121.41301358425224,17.459563431993413,0.35377095572112677,0.7038462501866122,0.5577694046278943,0.0,,
Aguadas,2026,2435.394704981385,202.94955874844877,66.2318745860561,17.529053837336164,0.054414237070036627,0.6985566487371796,0.6450439651330028,1104.476601754386,110.90984193558329,20.25070650273574
Aguadas,2027,2435.394704981385,202.94955874844877,66.2318745860561,17.549083697864702,0.009138224772520033,0.6985566487371796,0.6450439651330028,1104.476601754386,110.90984193558329,20.25070650273574
Anserma,2025,2440.6776868010083,203.38980723341737,107.62511032899657,18.339235251705613,0.23452538695310177,0.6908559096896001,0.5342145919358771,0.0,,
Anserma,2026,2162.514332400493,180.2095277000411,52.513020496981134,18.432318999586425,0.06107849580028344,0.7022806057190767,0.6699302894916949,1177.4832893157268,82.08592025706386,13.588006719504477
Anserma,2027,2162.514332400493,180.2095277000411,52.513020496981134,18.47408786246667,0.02155973089382394,0.7022806057190767,0.6699302894916949,1177.4832893157268,82.08592025706386,13.588006719504477
Aranzazu,2025,2359.9936145843676,196.6661345486973,101.78514682572941,15.079821493020674,0.26480778083675155,0.6655166539427714,0.5190113756250951,0.0,,
Aranzazu,2026,2057.2305753970995,171.43588128309162,62.42955900054586,15.253060321205309,0.18254815927098642,0.6531593131425049,0.5872494327347579,1028.257282122905,85.7477744395162,15.64888297875089
Aranzazu,2027,2057.2305753970995,171.43588128309162,62.42955900054586,15.253060321205309,0.18254815927098642,0.6614916429777234,0.5844093937884374,1028.257282122905,85.7477744395162,15.64888297875089
Belalcázar,2025,2575.638790715454,214.6365658929545,102.84339954490468,18.196715984305683,0.19762615840575623,0.7050060673952497,0.579660855653127,0.0,,
Belalcázar,2026,2302.47866397149,191.87322199762414,55.11372132037077,18.220695097349154,0.017973893593983322,0.7223332872010465,0.6941002542900649,1179.6783038348085,93.5666966780568,16.666253909355717
Belalcázar,2027,2302.47866397149,191.87322199762414,55.11372132037077,18.22471011644355,0.008231665961235035,0.7223332872010465,0.6941002542900649,1179.6783038348085,93.5666966780568,16.666253909355717
Chinchiná,2025,2926.8684756833973,243.90570630694978,123.99072274098292,17.567846688655916,0.27599395707028823,0.747110681331459,0.6422331149785794,0.0,,
Chinchiná,2026,2564.9848031479355,213.7487335956613,57.07520995585487,17.69436330254178,0.07221849311045009,0.7321467440746615,0.7069125945210352,1170.6066004583652,116.19818355746419,40.722782614153644
Chinchiná,2027,2564.9848031479355,213.7487335956613,57.07520995585487,17.65198206673878,0.003648762123919103,0.7321467440746615,0.7069125945210352,1170.6066004583652,116.19818355746419,40.722782614153644
Filadelfia,2025,2472.9697828502563,206.08081523752136,117.3981921994754,19.336819234072426,0.3298072864049466,0.729324605251643,0.6531257138727153,0.0,,
Filadelfia,2026,2165.732555235242,180.4777129362702,60.31262452842031,19.445412787498416,0.25723167049650403,0.731068521506313,0.7098387020893838,1180.87740234375,82.07126274095768,15.296802777583423
Filadelfia,2027,2165.732555235242,180.4777129362702,60.31262452842031,19.445412787498416,0.25723167049650403,0.731068521506313,0.7098387020893838,1180.87740234375,82.07126274095768,15.296802777583423
La Dorada,2025,3542.162648604452,295.1802207170377,127.49318046279197,26.55345369124153,0.8372233516553832,0.7155111833437783,0.4453312825194525,0.0,,
La Dorada,2026,3008.7534930853876,250.72945775711563,98.18964518874827,26.939312294256286,0.8485333863112565,0.7165417705545076,0.6740982622753718,1300.7949855447355,142.32987562838767,26.82609930375456
La Dorada,2027,3008.7534930853876,250.72945775711563,98.18964518874827,26.939312294256286,0.8485333863112565,0.7165417705545076,0.6740982622753718,1300.7949855447355,142.32987562838767,26.82609930375456
La Merced,2025,2442.960646473236,203.58005387276967,115.34986241661198,18.688129312459164,0.34067656760413806,0.717021405111828,0.6147178712905418,0.0,,
