anio,mes,precio_cierre_USc,precio_prom_mes_USc,PM30_cierre_USc,PM30_cierre_USD_ton,n_dias
2007,1,117.65,119.25,119.25,2629.01,20
2007,2,117.7,116.15,116.7,2572.75,19
2007,3,109.25,111.33,112.73,2485.27,22
2007,4,103.15,108.32,109.32,2410.2,20
2007,5,111.9,106.98,106.51,2348.21,22
2007,6,111.0,114.01,113.32,2498.24,21
2007,7,114.3,110.93,111.27,2453.12,21
2007,8,112.65,115.88,115.3,2541.82,23
2007,9,128.65,122.99,119.68,2638.42,19
2007,10,121.35,129.45,129.73,2860.09,23
2007,11,125.95,122.76,122.81,2707.42,20
2007,12,136.2,130.86,128.37,2830.03,19
2008,1,138.15,134.61,134.18,2958.23,21
2008,2,164.6,152.15,146.11,3221.1,20
2008,3,127.4,143.23,148.39,3271.36,20
2008,4,134.55,133.07,132.52,2921.45,22
2008,5,133.9,134.44,134.14,2957.31,21
2008,6,150.9,139.3,137.99,3042.19,21
2008,7,139.35,139.7,141.46,3118.66,22
2008,8,141.9,138.45,137.91,3040.46,21
2008,9,130.45,135.16,136.79,3015.7,21
2008,10,113.0,114.78,119.32,2630.55,23
2008,11,114.1,112.06,111.88,2466.53,19
2008,12,112.05,108.7,109.44,2412.63,22
2009,1,118.9,116.57,114.07,2514.77,20
2009,2,109.45,113.83,115.7,2550.82,19
2009,3,115.75,110.37,110.28,2431.25,22
2009,4,115.0,115.87,115.89,2554.9,21
2009,5,137.4,129.37,124.62,2747.29,20
2009,6,117.3,125.78,128.32,2829.01,22
2009,7,127.85,118.25,117.92,2599.72,22
2009,8,120.9,128.04,126.68,2792.78,21
2009,9,127.8,128.28,126.42,2787.01,21
2009,10,135.5,137.02,135.4,2985.06,22
2009,11,141.75,137.22,137.84,3038.88,20
2009,12,135.95,142.39,141.18,3112.52,23
2010,1,131.7,140.0,139.86,3083.35,21
2010,2,129.05,131.64,133.91,2952.16,19
2010,3,136.15,132.09,131.81,2905.98,23
2010,4,135.2,133.2,133.86,2951.07,21
2010,5,134.3,134.55,133.8,2949.86,21
2010,6,164.2,150.56,145.95,3217.61,22
2010,7,176.3,163.47,163.44,3603.23,23
2010,8,176.8,173.23,171.41,3778.83,22
2010,9,183.05,186.09,183.2,4038.75,23
2010,10,203.45,188.66,186.92,4120.88,21
2010,11,200.95,204.67,202.94,4474.02,21
2010,12,240.5,221.38,217.69,4799.22,23
2011,1,244.8,236.03,236.22,5207.66,21
2011,2,271.7,258.91,250.9,5531.32,19
2011,3,264.15,272.07,271.42,5983.74,23
2011,4,299.35,282.32,277.84,6125.32,21
2011,5,264.6,274.53,280.42,6182.23,21
2011,6,265.35,257.97,259.35,5717.76,22
2011,7,239.55,252.64,252.22,5560.59,21
2011,8,289.1,256.43,252.91,5575.74,23
2011,9,228.9,261.23,265.61,5855.64,22
2011,10,226.95,232.8,234.7,5174.35,21
2011,11,233.8,230.67,232.48,5125.3,21
2011,12,226.85,222.47,224.23,4943.32,23
2012,1,215.05,223.41,222.97,4915.61,21
2012,2,203.15,208.87,212.67,4688.57,20
2012,3,182.45,186.05,190.58,4201.6,22
2012,4,177.95,178.69,179.56,3958.65,20
2012,5,160.65,173.7,174.55,3848.16,22
2012,6,170.1,156.8,160.41,3536.39,21
2012,7,174.4,180.03,174.08,3837.88,21
2012,8,164.55,165.74,168.31,3710.63,23
2012,9,173.5,171.84,168.59,3716.77,19
2012,10,154.65,164.74,166.47,3670.03,23
2012,11,142.1,147.61,151.3,3335.55,21
2012,12,143.8,141.55,142.43,3140.11,20
2013,1,146.95,150.03,148.41,3271.95,21
2013,2,142.65,141.43,144.64,3188.84,19
2013,3,137.15,138.59,139.32,3071.48,20
2013,4,134.95,137.19,136.69,3013.57,22
2013,5,127.05,135.84,136.28,3004.38,22
2013,6,120.0,123.43,125.45,2765.62,20
2013,7,118.6,122.74,121.96,2688.85,23
2013,8,112.1,117.61,118.91,2621.44,22
2013,9,113.7,114.46,114.34,2520.69,20
2013,10,105.4,112.79,113.47,2501.55,23
2013,11,110.25,105.6,106.93,2357.51,20
2013,12,110.7,111.79,110.57,2437.57,21
2014,1,125.2,117.31,116.59,2570.28,22
2014,2,179.8,154.18,140.55,3098.48,19
2014,3,177.9,188.49,183.56,4046.91,21
2014,4,203.05,197.02,191.02,4211.15,21
2014,5,177.5,187.08,192.62,4246.65,21
2014,6,173.0,171.6,174.3,3842.73,21
2014,7,195.05,171.14,171.9,3789.63,22
2014,8,195.75,187.57,185.08,4080.27,21
2014,9,193.35,185.8,186.4,4109.49,21
2014,10,188.0,205.05,200.62,4422.91,23
2014,11,186.65,188.47,189.76,4183.5,20
2014,12,166.6,174.97,179.42,3955.54,22
2015,1,161.9,169.24,169.42,3734.99,20
2015,2,136.75,154.9,158.61,3496.75,19
2015,3,132.9,134.72,137.24,3025.66,22
2015,4,136.55,138.42,138.43,3051.86,21
2015,5,126.15,131.88,134.28,2960.33,20
2015,6,132.4,133.64,132.37,2918.26,22
2015,7,128.5,126.81,128.35,2829.74,22
2015,8,124.3,130.71,129.3,2850.5,21
2015,9,124.4,120.18,121.83,2685.85,21
2015,10,124.25,128.42,126.74,2794.17,22
2015,11,119.65,121.27,122.06,2690.89,20
2015,12,128.8,122.72,122.6,2702.79,22
2016,1,118.5,119.22,120.25,2651.06,19
2016,2,115.05,118.32,118.27,2607.29,20
2016,3,129.55,126.45,123.92,2732.08,22
2016,4,121.5,124.47,126.64,2791.86,21
2016,5,123.45,125.71,125.24,2761.14,21
2016,6,145.65,137.8,134.18,2958.16,22
2016,7,149.5,146.71,144.86,3193.61,20
2016,8,147.05,143.79,144.34,3182.15,23
2016,9,154.9,153.54,151.0,3329.09,21
2016,10,167.55,159.03,158.27,3489.18,21
2016,11,150.6,164.1,164.26,3621.2,21
2016,12,139.4,141.89,146.78,3235.83,21
2017,1,152.0,151.09,147.69,3255.93,20
2017,2,142.6,147.5,149.92,3305.13,19
2017,3,141.65,142.21,143.44,3162.23,23
2017,4,133.4,138.08,139.68,3079.41,19
2017,5,131.7,134.06,133.84,2950.63,22
2017,6,125.7,126.43,128.12,2824.67,22
2017,7,142.75,133.95,130.6,2879.2,20
2017,8,129.35,136.34,136.94,3019.04,23
2017,9,128.05,132.56,131.59,2901.13,20
2017,10,125.1,126.12,127.68,2814.82,22
2017,11,126.3,125.72,125.54,2767.57,21
2017,12,126.2,122.07,123.23,2716.79,20
2018,1,121.85,124.09,123.66,2726.16,21
2018,2,121.05,120.78,121.47,2677.99,19
2018,3,118.15,118.93,119.1,2625.7,21
2018,4,120.65,117.05,117.45,2589.33,21
