anio,PM30_prom_USD_ton,PM30_min_USD_ton,PM30_max_USD_ton,n_meses,fuente
2007,2581.22,2348.21,2860.09,12,Histórico
2008,2921.35,2412.63,3271.36,12,Histórico
2009,2745.33,2431.25,3112.52,12,Histórico
2010,3572.91,2905.98,4799.22,12,Histórico
2011,5581.91,4943.32,6182.23,12,Histórico
2012,3880.0,3140.11,4915.61,12,Histórico
2013,2786.95,2357.51,3271.95,12,Histórico
2014,3879.8,2570.28,4422.91,12,Histórico
2015,2978.48,2685.85,3734.99,12,Histórico
2016,3046.05,2607.29,3621.2,12,Histórico
2017,2973.05,2716.79,3305.13,12,Histórico
2018,2494.7,2162.18,2726.16,12,Histórico
2019,2216.78,2020.42,2735.38,12,Histórico
2020,2452.72,2169.09,2680.3,12,Histórico
2021,3676.94,2747.54,5187.47,12,Histórico
2022,4758.03,3612.97,5361.49,12,Histórico
2023,3792.17,3346.28,4174.71,12,Histórico
2024,5142.82,4177.83,6975.56,12,Histórico
2025,7997.76,6620.0,8732.1,12,Histórico
2026,7345.23,6938.82,8021.95,12,Forward
2027,6726.48,6529.42,6915.19,12,Forward
