sim,prima_total,indemnizacion_total,resultado_total,loss_ratio
0,420016157.8521777,381701364.21209586,38314793.64008182,0.9087778102727979
1,376787273.2051496,248535469.54507083,128251803.66007876,0.6596174744197121
2,409920168.16388875,302828185.58468175,107091982.579207,0.7387491738723357
3,408097569.8442359,320116731.3940971,87980838.4501388,0.7844122461113414
4,384413861.126643,329597182.1832905,54816678.94335252,0.8574019189040286
5,311516821.0581429,261980668.90289262,49536152.15525028,0.8409840213861047
6,381354542.08138114,269286324.0997015,112068217.98167962,0.7061311571902971
7,409342170.7283842,270112436.7765157,139229733.95186847,0.659869556796157
8,408682809.187474,189601123.39522824,219081685.79224578,0.46393222110855414
9,405970235.8711288,268149824.43194628,137820411.43918252,0.6605159707251734
10,412812652.3665192,323374654.36541414,89437998.00110507,0.7833448236424285
11,387210884.81386435,272542225.1146829,114668659.69918144,0.7038599269896463
12,444412404.0971842,300440057.87290543,143972346.22427875,0.6760388663841281
13,389817106.21977836,297861734.43826085,91955371.7815175,0.7641063711306881
14,395725946.7815527,286541189.691078,109184757.09047467,0.7240899719149665
15,380891676.74271905,235522912.11509985,145368764.6276192,0.6183461768690434
16,378460257.1112406,257156128.6982131,121304128.41302752,0.6794798763311819
17,372374449.3364204,205319368.80781934,167055080.52860108,0.5513787779309323
18,411882052.3146592,303991836.88952935,107890215.42512983,0.738055555422195
19,445851345.3107503,313061060.34149086,132790284.96925944,0.7021646645997961
20,408011221.8627786,257319911.75356725,150691310.10921136,0.6306687119505465
21,416457850.0870481,241536324.24471223,174921525.84233588,0.5799778397603172
22,436171991.37323934,398995134.4041269,37176856.969112456,0.9147656023210816
23,389683875.1775418,316396450.9471883,73287424.23035347,0.8119310833763307
24,440891073.7536336,309826114.28178406,131064959.47184956,0.7027271195218445
25,396568448.04537696,295923070.6774565,100645377.36792046,0.7462093167926355
26,428872154.1847707,282920869.581286,145951284.6034847,0.6596857987179914
27,426688867.19224936,391414136.21294147,35274730.97930789,0.9173291508367044
28,424065810.6745146,292234796.91621834,131831013.75829625,0.689126049684111
29,421525841.9369189,320198570.78597635,101327271.15094256,0.7596178903638697
30,393606963.0055435,251409886.248921,142197076.75662246,0.6387333301453313
31,412972462.26709163,268372190.01767826,144600272.24941337,0.6498549286903964
32,351510858.6098422,213408232.02640387,138102626.5834383,0.6071170400550139
33,407248911.9987695,329318467.01223034,77930444.98653919,0.8086417355811754
34,425947911.7115613,353638663.19720113,72309248.51436019,0.8302392228575456
35,395681082.6350138,301597278.6824379,94083803.95257592,0.7622231436336794
36,390106168.43710107,284981507.8491649,105124660.58793616,0.7305229471015504
37,375819766.16354865,307893963.324451,67925802.83909762,0.8192596319972756
38,383147517.31102735,292846043.6810607,90301473.62996668,0.7643166938318885
39,401503243.24133396,277542079.8622017,123961163.37913227,0.6912573796953809
40,418186193.0458521,312943549.3325926,105242643.71325952,0.7483354413336163
41,362686056.4687577,299109153.8852464,63576902.58351129,0.8247054127128047
42,360334470.1613601,236388537.86197615,123945932.29938394,0.6560253249047193
43,392805314.77091783,290528298.9655323,102277015.80538553,0.7396241548691036
44,401314731.466486,260825586.3687905,140489145.09769547,0.6499277647139454
45,435820431.26380587,319799558.54605347,116020872.7177524,0.7337874399754243
46,415234254.97327715,314532635.6556872,100701619.31758994,0.757482389491034
47,401305626.2006451,364674550.0948686,36631076.10577649,0.9087202528093596
48,381240299.64962333,281544250.809298,99696048.84032536,0.7384955133758146
49,407544327.9445142,290114112.9963958,117430214.94811839,0.7118590374195906
50,409612352.7842916,260640831.7334154,148971521.05087623,0.6363109656282094
51,389893624.58968395,238781296.0230667,151112328.56661725,0.6124267773661476
52,383066635.992417,237294208.29048195,145772427.70193502,0.619459347264008
53,369584058.64139825,319710024.7090625,49874033.932335734,0.8650536115770953
54,426623217.62785345,301429240.8211875,125193976.80666596,0.7065467334319494
55,385182894.33036155,307070676.06902564,78112218.26133591,0.7972074580385154
56,351643747.2735944,266462357.7515202,85181389.5220742,0.7577622517604463
57,431890078.7828313,400358154.47965676,31531924.303174555,0.9269908575069865
58,437102786.44920176,298321807.46393853,138780978.98526323,0.682498068445986
59,420771178.1908858,236552002.54760665,184219175.64327914,0.5621868008276298
60,404478344.83794004,324271798.34319246,80206546.49474758,0.8017037314398539
61,415039479.99457645,319065699.85306334,95973780.14151311,0.7687598776319611
62,417570376.87682563,268865230.7268009,148705146.1500247,0.6438800394265286
63,428161323.6825545,352520293.2303091,75641030.45224535,0.8233352097249989
64,422568963.29838073,291587580.4599771,130981382.83840364,0.6900354871876471
65,395042552.1378606,288824916.107095,106217636.0307656,0.7311235575612165
66,421728985.12314224,290473545.3386887,131255439.78445357,0.6887682743785614
67,458005808.1663162,411972489.258207,46033318.90810919,0.8994918446724304
68,404849921.9093789,302966396.50685924,101883525.40251964,0.7483424847360471
69,391137271.3959937,347228400.77431554,43908870.62167817,0.8877405099622323
70,450391139.3455952,303399071.97543824,146992067.37015694,0.673634637697953
71,378048937.9481041,244247382.08368132,133801555.86442277,0.646073451255694
72,395410625.37217844,260193229.13154697,135217396.24063146,0.658032972398355
73,407272573.4105646,301496015.08055884,105776558.33000576,0.7402806738391043
74,415974878.7939354,336052468.8017725,79922409.99216294,0.8078672197131531
75,384323577.84982216,245073459.1584197,139250118.69140247,0.6376747961432236
76,408039430.3627754,378552464.8009883,29486965.56178707,0.9277350094926583
77,342049626.83401877,269283739.9533575,72765886.88066125,0.7872651183567253
78,394784948.06957346,242843858.55444583,151941089.51512763,0.6151294767997314
79,381164022.66024685,256047852.62000117,125116170.04024568,0.6717524147031871
80,377014452.911574,336321170.89946586,40693282.01210815,0.8920643978026687
81,439250134.86508167,395005920.7523216,44244214.11276007,0.8992733055702989
82,415951309.4977305,211337683.04330674,204613626.45442376,0.5080827448253528
83,428301320.4975852,328129607.661186,100171712.8363992,0.7661185991207702
84,385962285.43369824,349767829.3105312,36194456.12316704,0.9062228163497995
85,387469190.52483165,225655808.27970365,161813382.245128,0.5823838741192562
86,419537924.541309,308002119.7486947,111535804.79261428,0.7341460729335516
87,373940069.2523519,266120207.13395357,107819862.11839831,0.7116653951153961
88,427707390.1221807,324378487.7649965,103328902.35718417,0.758412165084015
89,458715421.1845664,318288248.94102633,140427172.24354005,0.6938686476227306
90,386279565.79835856,304262190.6022187,82017375.19613987,0.7876735337355285
91,434461674.5517464,377622298.4972419,56839376.054504514,0.869172865217287
92,378831130.33403563,273614791.9382301,105216338.39580554,0.7222605800557343
93,362629351.5406141,223340378.7378224,139288972.8027917,0.6158916198839699
94,445606503.63493913,337791998.80619586,107814504.82874328,0.7580499746990458
95,443836911.12456185,360380133.6969168,83456777.42764503,0.8119652166463842
96,419934544.03328586,233479927.16360587,186454616.86968,0.5559912383514208
97,443686773.27563965,348684933.4883585,95001839.78728116,0.7858808386693524
98,385022136.2173422,264479890.6348549,120542245.58248729,0.6869212592118547
99,388655254.17731404,316375996.3505842,72279257.82672983,0.814027323573106
100,409900845.22231174,284145931.90099454,125754913.3213172,0.6932065039946103
101,352989155.6851851,198267137.39525643,154722018.28992864,0.5616805338124377
102,390165844.0969106,260458818.35504368,129707025.74186692,0.6675592502411618
103,417592533.67851424,296062946.7740979,121529586.90441632,0.7089756710114542
104,381814539.90248793,244205628.5261011,137608911.37638682,0.6395922706046476
105,459934646.1059957,303239738.01488954,156694908.09110618,0.6593104924411488
106,425750174.12483644,305923820.504819,119826353.62001747,0.7185524260410929
107,396915571.53273,256988449.0333186,139927122.49941137,0.6474637617288016
108,449220032.42545277,393558704.93801,55661327.48744279,0.8760933986249162
109,429031542.57600754,303317216.2231417,125714326.35286587,0.7069811566812847
110,366367974.003583,349152148.1854339,17215825.81814909,0.9530094685132584
111,415730758.5886188,358478504.3224644,57252254.26615441,0.8622852577458487
112,422134101.987173,329434321.33377725,92699780.65339577,0.7804020565573436
113,391642468.96605736,294917612.9438529,96724856.02220446,0.7530276625066743
114,406436674.1668622,207477957.417979,198958716.7488832,0.5104804034805165
115,413512549.9282764,318044593.96414435,95467955.96413207,0.7691292417105818
116,404033140.88520443,295777841.91105425,108255298.97415018,0.7320633185263679
117,413299769.8977969,401537856.00813544,11761913.88966149,0.9715414458310246
118,414083799.104046,340596495.0031499,73487304.10089606,0.8225303567541142
