Municipio,Año,PRECTOTCORR_total_anual,PRECTOTCORR_prom_diario_anual,PRECTOTCORR_max_mes,PRECTOTCORR_min_mes,PRECTOTCORR_std_mes,T2M_prom_anual,T2M_max_mes,T2M_min_mes,T2M_std_mes,RH2M_prom_anual,RH2M_max_mes,RH2M_min_mes,RH2M_std_mes,GWETROOT_prom_anual,GWETROOT_max_mes,GWETROOT_min_mes,GWETROOT_std_mes,ALLSKY_SFC_LW_DWN_prom_anual,ALLSKY_SFC_LW_DWN_max_mes,ALLSKY_SFC_LW_DWN_min_mes,ALLSKY_SFC_LW_DWN_std_mes,PS_prom_anual,PS_max_mes,PS_min_mes,PS_std_mes,WS2M_prom_anual,WS2M_max_mes,WS2M_min_mes,WS2M_std_mes,NDVI_prom_anual,NDVI_max_anual,NDVI_min_anual,NDVI_std_anual,NDVI_min_prom_anual,NDVI_max_prom_anual,NDVI_std_prom_anual,n_observaciones_16d_anual,meses_disponibles,T2M_rango_anual,NDVI_rango_anual,GWETROOT_rango_anual,PRECTOTCORR_rango_mes,estres_termico_hidrico,exceso_humedad_proxy,NDVI_ajustado_temp
Aguadas,2000,3697.0899999999997,11.044545454545455,504.98999999999995,184.45000000000002,87.5340149261469,17.240909090909092,17.73,16.86,0.30405442096620067,89.11363636363636,90.45,86.4,1.1455415551368944,0.9845454545454545,1.0,0.94,0.016348477827391995,31.933636363636364,32.52,31.38,0.35547919003150547,81.64454545454545,81.71,81.57,0.04633867420710914,0.20636363636363636,0.26,0.17,0.02873072476382289,0.4487,0.7467999999999999,0.1,0.18805154878383742,0.34782727272727276,0.5495727272727273,0.17435681875657622,20,11,0.870000000000001,0.6467999999999999,0.06000000000000005,320.53999999999996,17.511542012927055,3639.9531545454543,0.026025309781175846
Aguadas,2001,2961.2200000000003,8.095,366.0,117.32000000000001,74.14952508072435,17.43916666666667,18.0,16.87,0.32500233099397124,87.48833333333334,90.85,83.2,2.205929337586371,0.9366666666666666,0.99,0.85,0.04249777177759567,32.04333333333333,32.46,31.45,0.32971980758691516,81.65333333333334,81.74,81.53,0.06651497894641527,0.21833333333333335,0.26,0.17,0.0340676688460784,0.5934583333333333,0.753,0.36765,0.11457462203800417,0.4675416666666667,0.719375,0.19426151752234055,23,12,1.129999999999999,0.38535,0.14,248.68,18.618327402135233,2773.676066666667,0.03403020021981172
Aguadas,2002,2726.38,7.448333333333333,419.1,82.32,81.22240295893889,17.7075,18.3,17.37,0.31212249926183494,87.13583333333332,89.86,84.13,1.8133969045229226,0.9291666666666667,0.98,0.84,0.045016831868925994,32.0225,32.55,31.62,0.3138072656902644,81.66250000000001,81.77,81.6,0.05207075605715629,0.21166666666666667,0.24,0.18,0.0228963408483195,0.575975,0.7669,0.2278,0.20327169514089893,0.5193583333333333,0.6325916666666667,0.0873469722069346,23,12,0.9299999999999997,0.5391,0.14,336.78000000000003,19.057399103139012,2533.2614166666667,0.032527177749541156
Aguadas,2003,2523.3,6.9075,327.67,62.309999999999995,67.29490004990923,17.753333333333334,18.49,17.25,0.45868058470778883,87.9875,92.14,83.12,2.406888315571856,0.9191666666666666,0.99,0.79,0.06215206181518663,32.030833333333334,32.45,31.71,0.2650371614881493,81.6575,81.75,81.58,0.0552884995439207,0.21083333333333334,0.25,0.16,0.029682665076785242,0.6303333333333333,0.8370500000000001,0.4141,0.12780555069275668,0.494275,0.7663916666666667,0.20990786211695925,23,12,1.2399999999999984,0.42295000000000005,0.19999999999999996,265.36,19.31459655485041,2319.33325,0.03550506947052196
Aguadas,2004,1869.0700000000002,5.1025,277.76000000000005,68.7,57.11060631605901,17.643333333333334,18.7,17.11,0.47011281689192436,86.76416666666667,91.42,82.47,2.8138503492330176,0.8283333333333333,0.96,0.66,0.0931112075407519,31.9475,32.41,31.4,0.3197193371465875,81.66833333333334,81.74,81.57,0.0557320429022681,0.21583333333333332,0.25,0.17,0.026443192398846696,0.5968375,0.77355,0.4248,0.12952701740809275,0.48094166666666666,0.7127333333333333,0.17880159198821655,23,12,1.5899999999999999,0.34874999999999995,0.29999999999999993,209.06000000000006,21.299798792756544,1548.2129833333333,0.03382793311921405
Aguadas,2005,2156.37,5.8825,289.54,55.72,63.90660331864989,17.80333333333333,18.57,17.0,0.5209315664938113,87.79833333333333,90.8,84.46,2.2153137817282595,0.8933333333333334,0.98,0.77,0.06840166576032981,32.10333333333333,32.82,31.63,0.3523514086129294,81.66416666666667,81.76,81.57,0.056481426284676534,0.22583333333333333,0.27,0.19,0.025030284687057626,0.5659166666666666,0.76145,0.3497,0.11606370181408082,0.4335583333333333,0.6982750000000001,0.20419958191974424,23,12,1.5700000000000003,0.41174999999999995,0.20999999999999996,233.82000000000002,19.929104477611936,1926.3572000000001,0.031787118517131625
Aguadas,2006,2143.13,5.8625,274.04,79.36,65.03074118632222,17.611666666666668,18.17,17.04,0.31820043235595197,87.68583333333333,90.81,83.35,2.206282180639199,0.8933333333333334,0.97,0.76,0.06596601512532911,31.99416666666667,32.34,31.66,0.24182857690120302,81.655,81.74,81.58,0.055840682465217846,0.2125,0.25,0.19,0.016583123951777003,0.5113625,0.82155,0.1934,0.19813949072330558,0.3774333333333333,0.6452916666666667,0.2066230297061745,23,12,1.1300000000000026,0.62815,0.20999999999999996,194.68,19.714552238805968,1914.5294666666668,0.029035440522381
Aguadas,2007,1361.99,3.7099999999999995,204.6,18.2,50.0612972370933,17.62333333333333,18.15,16.81,0.45247467700782273,86.08999999999999,90.22,78.47,3.509004002692086,0.7399999999999999,0.88,0.64,0.07942978603201013,31.978333333333335,32.53,31.34,0.34004901607464394,81.66083333333333,81.74,81.55,0.05806866364029138,0.2325,0.28,0.19,0.028959218974902674,0.4756375,0.7361,0.14425,0.17832090343611634,0.338125,0.61315,0.21215131908636023,23,12,1.3399999999999999,0.59185,0.24,186.4,23.815315315315317,1007.8725999999998,0.026989076981274826
Aguadas,2008,1236.3600000000001,3.361666666666667,256.06,29.29,71.28452184412444,17.843333333333334,18.79,17.17,0.5388933666376501,82.53,90.01,74.87,4.930957863797406,0.6558333333333334,0.86,0.57,0.08425700222677297,31.9375,32.22,31.76,0.1270021474406857,81.65083333333332,81.72,81.57,0.045817490374772535,0.215,0.26,0.19,0.024308621740219884,0.5346208333333333,0.84685,0.2337,0.1951039227255023,0.4059,0.6633416666666666,0.19858772537450917,23,12,1.6199999999999974,0.61315,0.29000000000000004,226.77,27.207115628970772,810.8461000000001,0.029961937231458995
Aguadas,2009,2151.5099999999998,5.895833333333333,310.93,94.55,52.785308411440674,17.746666666666666,18.42,17.33,0.2984302365052952,88.12,90.7,84.15,1.7528470347616516,0.915,0.96,0.84,0.03397860289278319,31.988333333333333,32.34,31.64,0.2209003614686246,81.63583333333334,81.71,81.54,0.05712161401675675,0.2141666666666667,0.27,0.17,0.02937479851639476,0.5800583333333333,0.7596,0.3401,0.15132937861939869,0.4851583333333333,0.6749583333333332,0.1464096731664073,23,12,1.0900000000000034,0.41950000000000004,0.12,216.38,19.39526411657559,1968.6316499999998,0.032685480841472575
Aguadas,2010,2778.63,7.599166666666666,332.7,46.81,103.20904145779267,17.826666666666664,19.33,16.6,0.8869593957431007,88.43416666666667,92.31,82.04,3.4152956968569614,0.8908333333333333,1.0,0.64,0.13547615243572528,32.0175,32.5,31.53,0.3472260201812507,81.65833333333333,81.78,81.55,0.07837361955673862,0.21833333333333335,0.27,0.19,0.027579087378048987,0.5557916666666667,0.762,0.1305,0.2095992841692033,0.4814833333333333,0.6301,0.1146412939607353,23,12,2.729999999999997,0.6315,0.36,285.89,20.011225444340504,2475.296225,0.031177543006731492
