Municipio,Año,Mes,ALLSKY_SFC_LW_DWN,GWETROOT,PRECTOTCORR,PS,RH2M,T2M,WS2M,NDVI,NDVI_min,NDVI_max,NDVI_std,n_observaciones_16d
Aguadas,2000,2,32.14,0.98,11.35,81.66,89.1,17.0,0.19,0.1,0.1,0.1,,1
Aguadas,2000,3,32.21,0.99,9.41,81.59,87.92,17.54,0.2,0.5576,0.52,0.5952,0.0531744299452283,2
Aguadas,2000,4,32.52,0.99,11.87,81.64,89.1,17.73,0.19,0.3636,0.2457,0.4815,0.1667357790037879,2
Aguadas,2000,5,32.34,1.0,16.29,81.68,90.45,17.64,0.17,0.19335,0.0617,0.325,0.1861812154864179,2
Aguadas,2000,6,31.99,1.0,14.12,81.71,90.13,17.33,0.17,0.49205,0.2562,0.7279,0.3335422686856945,2
Aguadas,2000,7,31.73,0.99,11.58,81.68,88.65,16.86,0.19,0.3682,0.0653,0.6711,0.4283652880428105,2
Aguadas,2000,8,31.44,0.98,11.75,81.69,86.4,17.31,0.23,0.5311,0.3516,0.7106,0.2538513344459706,2
Aguadas,2000,9,31.75,0.99,12.28,81.66,89.69,16.99,0.21,0.54175,0.4723,0.6112,0.0982171319068114,2
Aguadas,2000,10,31.92,0.98,8.76,81.62,89.65,17.13,0.22,0.40945,0.3794,0.4395,0.0424971175493114,2
Aguadas,2000,11,31.85,0.99,8.13,81.57,89.93,16.86,0.24,0.6318,0.6318,0.6318,,1
Aguadas,2000,12,31.38,0.94,5.95,81.59,89.23,17.26,0.26,0.7467999999999999,0.7421,0.7515,0.0066468037431535,2
Aguadas,2001,1,31.45,0.94,5.35,81.66,86.43,16.87,0.25,0.64595,0.5435,0.7484,0.1448861794651235,2
Aguadas,2001,2,32.35,0.85,4.19,81.54,84.92,17.3,0.23,0.7095,0.702,0.717,0.0106066017177982,2
Aguadas,2001,3,32.46,0.89,6.63,81.64,87.48,17.76,0.19,0.753,0.7352,0.7708,0.0251730014102411,2
Aguadas,2001,4,32.43,0.93,7.61,81.65,87.51,18.0,0.17,0.61355,0.4433,0.7838,0.2407698589940194,2
Aguadas,2001,5,32.19,0.98,10.0,81.69,89.94,17.77,0.18,0.5276,0.2636,0.7916,0.373352380466497,2
Aguadas,2001,6,31.75,0.97,8.68,81.71,87.56,17.27,0.17,0.61825,0.4324,0.8041,0.2628315905670397,2
Aguadas,2001,7,31.71,0.9,6.12,81.73,85.75,17.28,0.2,0.7508,0.7327,0.7689,0.025597265478953,2
Aguadas,2001,8,31.76,0.91,11.01,81.74,83.2,17.55,0.23,0.5183,0.3814,0.6552,0.1936058366888767,2
Aguadas,2001,9,31.91,0.95,9.06,81.69,87.83,17.09,0.24,0.49455,0.2248,0.7643,0.3814841084501423,2
Aguadas,2001,10,32.1,0.95,6.73,81.63,88.44,17.52,0.26,0.6065,0.6065,0.6065,,1
Aguadas,2001,11,32.04,0.98,12.2,81.63,89.95,17.21,0.25,0.5158499999999999,0.2612,0.7705,0.3601294836583086,2
Aguadas,2001,12,32.37,0.99,9.56,81.53,90.85,17.65,0.25,0.36765,0.2839,0.4514,0.1184403858487467,2
Aguadas,2002,1,31.75,0.97,5.84,81.64,87.47,17.58,0.24,0.7669,0.7357,0.7981,0.0441234631460405,2
Aguadas,2002,2,32.45,0.89,2.94,81.62,85.54,18.3,0.21,0.7196,0.6705,0.7687,0.069437885912519,2
Aguadas,2002,3,32.33,0.84,5.57,81.64,86.34,18.27,0.19,0.6268,0.5085,0.7451,0.1673014644287372,2
