Municipio,Año,PRECTOTCORR_total_anual,PRECTOTCORR_prom_diario_anual,PRECTOTCORR_max_mes,PRECTOTCORR_min_mes,PRECTOTCORR_std_mes,T2M_prom_anual,T2M_max_mes,T2M_min_mes,T2M_std_mes,RH2M_prom_anual,RH2M_max_mes,RH2M_min_mes,RH2M_std_mes,GWETROOT_prom_anual,GWETROOT_max_mes,GWETROOT_min_mes,GWETROOT_std_mes,ALLSKY_SFC_LW_DWN_prom_anual,ALLSKY_SFC_LW_DWN_max_mes,ALLSKY_SFC_LW_DWN_min_mes,ALLSKY_SFC_LW_DWN_std_mes,PS_prom_anual,PS_max_mes,PS_min_mes,PS_std_mes,WS2M_prom_anual,WS2M_max_mes,WS2M_min_mes,WS2M_std_mes,NDVI_prom_anual,NDVI_max_anual,NDVI_min_anual,NDVI_std_anual,NDVI_min_prom_anual,NDVI_max_prom_anual,NDVI_std_prom_anual,n_observaciones_16d_anual,meses_disponibles,T2M_rango_anual,NDVI_rango_anual,GWETROOT_rango_anual,PRECTOTCORR_rango_mes,estres_termico_hidrico,exceso_humedad_proxy,NDVI_ajustado_temp,Código Dane municipio,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
Aguadas,2007,1361.99,3.71,204.6,18.2,50.0612972370933,17.62333333333333,18.15,16.81,0.4524746770078227,86.08999999999999,90.22,78.47,3.509004002692086,0.7399999999999999,0.88,0.64,0.0794297860320101,31.97833333333333,32.53,31.34,0.3400490160746439,81.66083333333333,81.74,81.55,0.0580686636402913,0.2325,0.28,0.19,0.0289592189749026,0.4756375,0.7361,0.14425,0.1783209034361163,0.338125,0.61315,0.2121513190863602,23,12,1.34,0.59185,0.24,186.4,23.81531531531532,1007.8725999999998,0.0269890769812748,17013,4626.0,4173.0,4063.0,0.97
Aguadas,2008,1236.36,3.361666666666667,256.06,29.29,71.28452184412444,17.843333333333334,18.79,17.17,0.5388933666376501,82.53,90.01,74.87,4.930957863797406,0.6558333333333334,0.86,0.57,0.0842570022267729,31.9375,32.22,31.76,0.1270021474406857,81.65083333333332,81.72,81.57,0.0458174903747725,0.215,0.26,0.19,0.0243086217402198,0.5346208333333333,0.84685,0.2337,0.1951039227255023,0.4059,0.6633416666666666,0.1985877253745091,23,12,1.6199999999999974,0.61315,0.29,226.77,27.20711562897077,810.8461000000001,0.0299619372314589,17013,4604.0,4085.0,3458.0,0.85
Aguadas,2009,2151.51,5.895833333333333,310.93,94.55,52.785308411440674,17.746666666666666,18.42,17.33,0.2984302365052952,88.12,90.7,84.15,1.7528470347616516,0.915,0.96,0.84,0.0339786028927831,31.988333333333333,32.34,31.64,0.2209003614686246,81.63583333333334,81.71,81.54,0.0571216140167567,0.2141666666666667,0.27,0.17,0.0293747985163947,0.5800583333333333,0.7596,0.3401,0.1513293786193986,0.4851583333333333,0.6749583333333332,0.1464096731664073,23,12,1.0900000000000034,0.4195,0.12,216.38,19.39526411657559,1968.63165,0.0326854808414725,17013,4624.0,411.0,4110.0,1.0
Aguadas,2010,2778.63,7.599166666666666,332.7,46.81,103.20904145779268,17.826666666666664,19.33,16.6,0.8869593957431007,88.43416666666667,92.31,82.04,3.415295696856961,0.8908333333333333,1.0,0.64,0.1354761524357252,32.0175,32.5,31.53,0.3472260201812507,81.65833333333333,81.78,81.55,0.0783736195567386,0.2183333333333333,0.27,0.19,0.0275790873780489,0.5557916666666667,0.762,0.1305,0.2095992841692033,0.4814833333333333,0.6301,0.1146412939607353,23,12,2.729999999999997,0.6315,0.36,285.89,20.011225444340504,2475.296225,0.0311775430067314,17013,4615.0,38.0,3800.0,1.0
Aguadas,2011,2921.37,7.9975,426.3,122.14,89.28213087276656,17.225833333333334,17.89,16.46,0.4126292267737197,89.3675,92.35,87.0,1.6874570701610048,0.96,1.0,0.9,0.0310424928708434,31.83083333333333,32.17,31.58,0.2123658221660034,81.63833333333334,81.74,81.53,0.0616195561244147,0.2241666666666666,0.27,0.19,0.0246644143115812,0.6349625,0.83845,0.3349999999999999,0.1540207721011564,0.536725,0.7332000000000001,0.1515586961821384,23,12,1.4299999999999995,0.5034500000000002,0.0999999999999999,304.16,17.94357638888889,2804.5152,0.0368610613903536,17013,4584.0,3939.0,3939.0,1.0
Aguadas,2012,2925.64,7.986666666666667,319.61,167.91,52.264742040940575,17.435,17.83,17.2,0.2047836996354041,88.72166666666668,90.98,85.83,1.7749511303558545,0.95,0.99,0.88,0.0408989886516436,31.824166666666667,32.22,31.51,0.2284914294526894,81.64916666666666,81.74,81.58,0.0586915408700206,0.21,0.25,0.15,0.0319089614086986,0.5889916666666667,0.8069500000000001,0.08915,0.1889701621869698,0.4899916666666666,0.6879916666666667,0.1527350647362942,23,12,0.629999999999999,0.7178000000000001,0.1099999999999999,151.70000000000002,18.352631578947367,2779.358,0.0337821431985469,17013,4603.0,2650.0,265.0,1.0
Aguadas,2013,2976.77,8.164166666666667,348.44,106.64,61.40801227828252,17.649166666666666,18.26,16.96,0.3586453891401855,89.20833333333333,91.89,86.72,1.6029735626092665,0.96,0.99,0.92,0.024120907566221,31.945000000000004,32.31,31.46,0.2594925117153964,81.65333333333334,81.73,81.57,0.0558135423992368,0.2066666666666666,0.25,0.17,0.0226969494679684,0.5374291666666666,0.7437,0.2148,0.1517622699223021,0.3951833333333334,0.679675,0.2194538036629776,23,12,1.3000000000000007,0.5289,0.0699999999999999,241.8,18.38454861111111,2857.6992,0.0304506822796166,17013,4654.0,3572.0,2784.0,0.78
Aguadas,2014,2677.38,7.348333333333333,298.2,117.49,59.501390740049104,17.731666666666666,18.5,17.17,0.3520029269850765,88.61416666666666,91.81,84.61,2.230330013629589,0.9275,0.99,0.77,0.069035563957348,31.9275,32.33,31.51,0.2850239224409705,81.65916666666666,81.75,81.56,0.0591543948007507,0.2091666666666667,0.24,0.17,0.0253908835942542,0.5032083333333334,0.7515000000000001,0.225,0.1478500158842389,0.3670833333333334,0.6393333333333334,0.2100107140124046,23,12,1.3299999999999983,0.5265000000000001,0.2199999999999999,180.71,19.11769991015274,2483.26995,0.0283790769809192,17013,4509.0,3723.0,3138.0,0.84
Aguadas,2015,1465.53,4.0225,192.82,31.93,47.42281789200408,18.1325,18.97,17.18,0.4827595863178865,85.45666666666666,90.59,78.54,3.7989839151908456,0.7816666666666667,0.92,0.64,0.1024990761229612,31.936666666666667,32.34,31.35,0.3279781958754229,81.65666666666667,81.72,81.58,0.042283315715288,0.2091666666666666,0.26,0.18,0.0235326980770985,0.5956833333333333,0.8391,0.43105,0.1427309139180394,0.4581416666666666,0.733225,0.2121963167906175,23,12,1.7899999999999991,0.4080499999999999,0.28,160.89,23.19722814498934,1145.5559500000002,0.0328516935520933,17013,4476.0,3725.0,4198.0,1.13
Aguadas,2016,1906.77,5.2025,245.52,48.67,64.96543698208093,18.38416666666667,20.21,17.24,0.95941704206568,85.98833333333333,91.13,78.15,4.17399488899224,0.7541666666666668,0.96,0.58,0.1225826869974514,32.016666666666666,32.57,31.56,0.3382933996435964,81.69916666666667,81.81,81.58,0.0735413715763714,0.205,0.25,0.16,0.0284445233584763,0.5690416666666667,0.8197000000000001,0.24405,0.2073991406939914,0.4552583333333333,0.6828249999999999,0.175542472551293,23,12,2.9700000000000024,0.5756500000000001,0.38,196.85,24.376795580110496,1438.0223750000002,0.0309528126558179,17013,4415.0,3602.0,4199.0,1.17
