municipio,date,anio,et_real_mm,et_potencial_mm,n_pixeles
Aguadas,2005-12-31,2005,1107.8212807017544,1113.3213859649122,38.0
Aguadas,2006-12-31,2006,1100.5086140350877,1113.0706666666667,38.0
Aguadas,2007-12-31,2007,1037.6795438596491,1100.9445789473684,38.0
Aguadas,2008-12-31,2008,1080.767,1084.5876140350877,38.0
Aguadas,2009-12-31,2009,1125.7884561403507,1129.5783508771929,38.0
Aguadas,2010-12-31,2010,1030.3967719298244,1132.272298245614,38.0
Aguadas,2011-12-31,2011,1111.4710701754384,1112.4139122807017,38.0
Aguadas,2012-12-31,2012,1156.2044035087717,1168.5325614035087,38.0
Aguadas,2013-12-31,2013,1092.1350526315787,1145.3743333333332,38.0
Aguadas,2014-12-31,2014,1135.0220175438596,1158.682052631579,38.0
Aguadas,2015-12-31,2015,1135.8191403508772,1201.5474736842104,38.0
Aguadas,2016-12-31,2016,1053.8709473684212,1141.2250350877193,38.0
Aguadas,2017-12-31,2017,1129.189596491228,1159.1279473684208,38.0
Aguadas,2018-12-31,2018,1083.3533157894735,1110.0649824561403,38.0
Aguadas,2019-12-31,2019,1103.1930175438597,1268.7802105263158,38.0
Aguadas,2020-12-31,2020,1158.4316666666666,1282.542701754386,38.0
Aguadas,2021-12-31,2021,1122.8679824561402,1178.2767192982456,38.0
Aguadas,2022-12-31,2022,1110.5546842105261,1112.8870175438597,38.0
Aguadas,2023-12-31,2023,1173.6178771929824,1207.0903157894736,38.0
Aguadas,2024-12-31,2024,1040.839596491228,1238.4626666666666,38.0
Anserma,2005-12-31,2005,1154.318047218888,1158.2457382953185,21.0
Anserma,2006-12-31,2006,1155.3760704281717,1166.7413765506205,21.0
Anserma,2007-12-31,2007,1097.3478591436578,1155.2601440576234,21.0
Anserma,2008-12-31,2008,1144.6723889555826,1145.3147258903564,21.0
Anserma,2009-12-31,2009,1181.2628651460589,1190.263665466187,21.0
Anserma,2010-12-31,2010,1088.773629451781,1198.58843537415,21.0
Anserma,2011-12-31,2011,1174.771428571429,1174.771428571429,21.0
