municipio,date,anio,mes,et_real_mm,et_potencial_mm,n_pixeles
Aguadas,2005-01-31,2005,1,93.49263157894734,95.10738596491224,38
Aguadas,2005-02-28,2005,2,86.82715789473684,87.81031578947368,38
Aguadas,2005-03-31,2005,3,106.87229824561408,106.94201754385966,38
Aguadas,2005-04-30,2005,4,97.1157192982456,97.1157192982456,38
Aguadas,2005-05-31,2005,5,94.95603508771929,94.95603508771929,38
Aguadas,2005-06-30,2005,6,83.75329824561405,83.75329824561405,38
Aguadas,2005-07-31,2005,7,97.56963157894737,100.40210526315788,38
Aguadas,2005-08-31,2005,8,97.310649122807,97.310649122807,38
Aguadas,2005-09-30,2005,9,96.8702280701754,96.8702280701754,38
Aguadas,2005-10-31,2005,10,85.03589473684208,85.03589473684208,38
Aguadas,2005-11-30,2005,11,80.86828070175443,80.86828070175443,38
Aguadas,2005-12-31,2005,12,87.14945614035086,87.14945614035086,38
Aguadas,2006-01-31,2006,1,93.9364561403509,93.9364561403509,38
Aguadas,2006-02-28,2006,2,97.2682807017544,99.03561403508776,38
Aguadas,2006-03-31,2006,3,96.3881578947368,96.3881578947368,38
Aguadas,2006-04-30,2006,4,91.05333333333336,91.05333333333336,38
Aguadas,2006-05-31,2006,5,84.31314035087719,84.31314035087719,38
Aguadas,2006-06-30,2006,6,88.36991228070177,88.36991228070177,38
Aguadas,2006-07-31,2006,7,87.73771929824562,87.73771929824562,38
Aguadas,2006-08-31,2006,8,93.1677192982456,103.96243859649122,38
Aguadas,2006-09-30,2006,9,102.57128070175436,102.57128070175436,38
Aguadas,2006-10-31,2006,10,92.48366666666666,92.48366666666666,38
Aguadas,2006-11-30,2006,11,87.2971754385965,87.2971754385965,38
Aguadas,2006-12-31,2006,12,85.92177192982454,85.92177192982454,38
Aguadas,2007-01-31,2007,1,81.69815789473682,93.9160350877193,38
Aguadas,2007-02-28,2007,2,56.97835087719297,108.02550877192982,38
Aguadas,2007-03-31,2007,3,104.28722807017544,104.28722807017544,38
Aguadas,2007-04-30,2007,4,90.73461403508772,90.73461403508772,38
Aguadas,2007-05-31,2007,5,84.35880701754384,84.35880701754384,38
Aguadas,2007-06-30,2007,6,86.95773684210525,86.95773684210525,38
Aguadas,2007-07-31,2007,7,95.0254210526316,95.0254210526316,38
Aguadas,2007-08-31,2007,8,92.35914035087718,92.35914035087718,38
Aguadas,2007-09-30,2007,9,99.2448245614035,99.2448245614035,38
Aguadas,2007-10-31,2007,10,83.50794736842106,83.50794736842106,38
Aguadas,2007-11-30,2007,11,84.89966666666665,84.89966666666665,38
Aguadas,2007-12-31,2007,12,77.627649122807,77.627649122807,38
Aguadas,2008-01-31,2008,1,87.85759649122807,91.25175438596492,38
Aguadas,2008-02-29,2008,2,86.99912280701759,87.0235964912281,38
Aguadas,2008-03-31,2008,3,102.9280701754386,103.33005263157892,38
Aguadas,2008-04-30,2008,4,96.6978596491228,96.6978596491228,38
Aguadas,2008-05-31,2008,5,85.49173684210524,85.49173684210524,38
Aguadas,2008-06-30,2008,6,86.45594736842108,86.45594736842108,38
Aguadas,2008-07-31,2008,7,85.91898245614036,85.91898245614036,38
Aguadas,2008-08-31,2008,8,97.40205263157893,97.40205263157893,38
Aguadas,2008-09-30,2008,9,95.5752280701754,95.5752280701754,38
Aguadas,2008-10-31,2008,10,90.50650877192984,90.50650877192984,38
Aguadas,2008-11-30,2008,11,80.46291228070176,80.46291228070176,38
Aguadas,2008-12-31,2008,12,84.47098245614032,84.47098245614032,38
Aguadas,2009-01-31,2009,1,91.47822807017543,91.50929824561403,38
Aguadas,2009-02-28,2009,2,91.69177192982455,92.24057894736842,38
Aguadas,2009-03-31,2009,3,101.13187719298242,101.13187719298242,38
Aguadas,2009-04-30,2009,4,95.94619298245613,95.94619298245613,38
Aguadas,2009-05-31,2009,5,92.84487719298244,92.84487719298244,38
Aguadas,2009-06-30,2009,6,87.00450877192984,87.00450877192984,38
Aguadas,2009-07-31,2009,7,93.58189473684207,96.7099649122807,38
Aguadas,2009-08-31,2009,8,96.00791228070172,96.00791228070172,38
Aguadas,2009-09-30,2009,9,100.87722807017543,100.87722807017543,38
Aguadas,2009-10-31,2009,10,89.42119298245612,89.42119298245612,38
Aguadas,2009-11-30,2009,11,89.54063157894736,89.54063157894736,38
Aguadas,2009-12-31,2009,12,96.26214035087716,96.34408771929824,38
Aguadas,2010-01-31,2010,1,38.11235087719298,111.5332280701754,38
Aguadas,2010-02-28,2010,2,73.57877192982454,100.9345087719298,38
Aguadas,2010-03-31,2010,3,115.40417543859648,116.50308771929822,38
Aguadas,2010-04-30,2010,4,93.8327543859649,93.8327543859649,38
Aguadas,2010-05-31,2010,5,89.18499999999997,89.18499999999997,38
Aguadas,2010-06-30,2010,6,86.70368421052635,86.70368421052635,38
Aguadas,2010-07-31,2010,7,87.81903508771929,87.81903508771929,38
Aguadas,2010-08-31,2010,8,94.46694736842105,94.46694736842105,38
Aguadas,2010-09-30,2010,9,92.18454385964912,92.18454385964912,38
Aguadas,2010-10-31,2010,10,91.97724561403506,91.97724561403506,38
Aguadas,2010-11-30,2010,11,82.55691228070175,82.55691228070175,38
Aguadas,2010-12-31,2010,12,84.57535087719297,84.57535087719297,38
Aguadas,2011-01-31,2011,1,96.95747368421048,97.90031578947362,38
Aguadas,2011-02-28,2011,2,92.97112280701752,92.97112280701752,38
Aguadas,2011-03-31,2011,3,105.21085964912284,105.21085964912284,38
Aguadas,2011-04-30,2011,4,92.83154385964914,92.83154385964914,38
Aguadas,2011-05-31,2011,5,91.76454385964912,91.76454385964912,38
Aguadas,2011-06-30,2011,6,85.1300877192982,85.1300877192982,38
Aguadas,2011-07-31,2011,7,94.55438596491224,94.55438596491224,38
Aguadas,2011-08-31,2011,8,102.15117543859648,102.15117543859648,38
Aguadas,2011-09-30,2011,9,99.95159649122805,99.95159649122805,38
Aguadas,2011-10-31,2011,10,85.57715789473683,85.57715789473683,38
Aguadas,2011-11-30,2011,11,80.67850877192983,80.67850877192983,38
Aguadas,2011-12-31,2011,12,83.69261403508773,83.69261403508773,38
Aguadas,2012-01-31,2012,1,91.37105263157896,91.37105263157896,38
Aguadas,2012-02-29,2012,2,88.13971929824564,98.7470877192982,38
Aguadas,2012-03-31,2012,3,111.48117543859652,111.48363157894738,38
Aguadas,2012-04-30,2012,4,96.1505087719298,96.1505087719298,38
Aguadas,2012-05-31,2012,5,94.7704035087719,94.7704035087719,38
Aguadas,2012-06-30,2012,6,95.36440350877191,95.42361403508772,38
Aguadas,2012-07-31,2012,7,96.83873684210523,97.78656140350878,38
Aguadas,2012-08-31,2012,8,99.02919298245612,99.02919298245612,38
Aguadas,2012-09-30,2012,9,101.99042105263156,102.70171929824562,38
Aguadas,2012-10-31,2012,10,95.50708771929826,95.50708771929826,38
Aguadas,2012-11-30,2012,11,92.41201754385963,92.41201754385963,38
Aguadas,2012-12-31,2012,12,93.1496842105263,93.1496842105263,38
Aguadas,2013-01-31,2013,1,70.8152631578947,100.89389473684209,38
Aguadas,2013-02-28,2013,2,93.52243859649124,93.52243859649124,38
Aguadas,2013-03-31,2013,3,109.1423333333333,109.1423333333333,38
Aguadas,2013-04-30,2013,4,98.01070175438596,98.01070175438596,38
Aguadas,2013-05-31,2013,5,88.79482456140347,88.79482456140347,38
Aguadas,2013-06-30,2013,6,92.51901754385965,92.51901754385965,38
Aguadas,2013-07-31,2013,7,75.96268421052632,99.12333333333332,38
Aguadas,2013-08-31,2013,8,95.15914035087717,95.15914035087717,38
Aguadas,2013-09-30,2013,9,97.07698245614031,97.07698245614031,38
Aguadas,2013-10-31,2013,10,99.67659649122804,99.67659649122804,38
Aguadas,2013-11-30,2013,11,85.28108771929824,85.28108771929824,38
Aguadas,2013-12-31,2013,12,86.17398245614035,86.17398245614035,38
Aguadas,2014-01-31,2014,1,93.95838596491228,95.44659649122806,38
Aguadas,2014-02-28,2014,2,88.75929824561399,89.10064912280698,38
Aguadas,2014-03-31,2014,3,111.77815789473682,111.81819298245615,38
Aguadas,2014-04-30,2014,4,105.11247368421051,105.11247368421051,38
Aguadas,2014-05-31,2014,5,90.65671929824563,90.65671929824563,38
Aguadas,2014-06-30,2014,6,92.6851403508772,92.6851403508772,38
Aguadas,2014-07-31,2014,7,79.17199999999997,100.88678947368416,38
Aguadas,2014-08-31,2014,8,101.75310526315792,101.82875438596494,38
Aguadas,2014-09-30,2014,9,97.40812280701756,97.40812280701756,38
Aguadas,2014-10-31,2014,10,91.71228070175437,91.71228070175437,38
Aguadas,2014-11-30,2014,11,90.40649122807018,90.40649122807018,38
Aguadas,2014-12-31,2014,12,91.61984210526316,91.61984210526316,38
Aguadas,2015-01-31,2015,1,102.6384210526316,107.70950877192983,38
Aguadas,2015-02-28,2015,2,87.97471929824559,96.8558771929824,38
Aguadas,2015-03-31,2015,3,106.55508771929824,106.55508771929824,38
Aguadas,2015-04-30,2015,4,102.64224561403508,102.64224561403508,38
Aguadas,2015-05-31,2015,5,101.9569298245614,101.9569298245614,38
Aguadas,2015-06-30,2015,6,75.41719298245613,94.02450877192985,38
Aguadas,2015-07-31,2015,7,93.77856140350876,95.5195789473684,38
Aguadas,2015-08-31,2015,8,103.6315087719298,103.70561403508768,38
Aguadas,2015-09-30,2015,9,106.1206666666667,106.1206666666667,38
Aguadas,2015-10-31,2015,10,97.76270175438594,97.76270175438594,38
Aguadas,2015-11-30,2015,11,90.66122807017544,90.66122807017544,38
Aguadas,2015-12-31,2015,12,66.67987719298246,98.03352631578947,38
Aguadas,2016-01-31,2016,1,78.19549122807017,104.83524561403507,38
Aguadas,2016-02-29,2016,2,43.678649122807016,98.89568421052626,38
Aguadas,2016-03-31,2016,3,106.65461403508772,109.26529824561403,38
Aguadas,2016-04-30,2016,4,98.8301052631579,98.8301052631579,38
Aguadas,2016-05-31,2016,5,90.3298596491228,90.3298596491228,38
Aguadas,2016-06-30,2016,6,87.29314035087721,89.9367543859649,38
Aguadas,2016-07-31,2016,7,91.78826315789472,92.03126315789474,38
Aguadas,2016-08-31,2016,8,100.42445614035093,100.42445614035093,38
Aguadas,2016-09-30,2016,9,98.65477192982456,98.65477192982456,38
Aguadas,2016-10-31,2016,10,91.44575438596492,91.44575438596492,38
Aguadas,2016-11-30,2016,11,81.65450877192981,81.65450877192981,38
Aguadas,2016-12-31,2016,12,84.92133333333335,84.92133333333335,38
Aguadas,2017-01-31,2017,1,93.52464912280702,98.00766666666664,38
Aguadas,2017-02-28,2017,2,95.78896491228072,103.15452631578944,38
Aguadas,2017-03-31,2017,3,101.05312280701756,110.33519298245614,38
Aguadas,2017-04-30,2017,4,104.97801754385964,104.97801754385964,38
Aguadas,2017-05-31,2017,5,97.98703508771928,97.98703508771928,38
Aguadas,2017-06-30,2017,6,88.44356140350877,88.44356140350877,38
Aguadas,2017-07-31,2017,7,84.03005263157895,92.83775438596491,38
Aguadas,2017-08-31,2017,8,97.46524561403506,97.46524561403506,38
Aguadas,2017-09-30,2017,9,95.79385964912278,95.79385964912278,38
Aguadas,2017-10-31,2017,10,93.42975438596493,93.42975438596493,38
Aguadas,2017-11-30,2017,11,87.33745614035087,87.33745614035087,38
Aguadas,2017-12-31,2017,12,89.35787719298246,89.35787719298246,38
Aguadas,2018-01-31,2018,1,95.37543859649122,95.41866666666668,38
Aguadas,2018-02-28,2018,2,79.8722105263158,83.1138596491228,38
Aguadas,2018-03-31,2018,3,103.14928070175436,104.28870175438595,38
Aguadas,2018-04-30,2018,4,97.96998245614031,97.96998245614031,38
Aguadas,2018-05-31,2018,5,86.70450877192984,86.70450877192984,38
Aguadas,2018-06-30,2018,6,84.00299999999999,84.00299999999999,38
Aguadas,2018-07-31,2018,7,90.24622807017543,90.28175438596492,38
Aguadas,2018-08-31,2018,8,101.8694912280702,101.8694912280702,38
Aguadas,2018-09-30,2018,9,92.06905263157894,92.06905263157894,38
Aguadas,2018-10-31,2018,10,89.61668421052634,89.61668421052634,38
Aguadas,2018-11-30,2018,11,85.72207017543859,85.72207017543859,38
Aguadas,2018-12-31,2018,12,76.75536842105261,99.00721052631576,38
Aguadas,2019-01-31,2019,1,77.03308771929824,105.4599649122807,38
Aguadas,2019-02-28,2019,2,94.6177543859649,95.08080701754383,38
Aguadas,2019-03-31,2019,3,108.17231578947371,108.17231578947371,38
Aguadas,2019-04-30,2019,4,99.35989473684212,99.35989473684212,38
Aguadas,2019-05-31,2019,5,101.6202456140351,101.6202456140351,38
Aguadas,2019-06-30,2019,6,102.06915789473685,102.73208771929826,38
Aguadas,2019-07-31,2019,7,66.19654385964914,118.45005263157891,38
Aguadas,2019-08-31,2019,8,49.80854385964912,126.2427368421053,38
Aguadas,2019-09-30,2019,9,111.89463157894735,115.30031578947366,38
Aguadas,2019-10-31,2019,10,107.0598596491228,107.0598596491228,38
Aguadas,2019-11-30,2019,11,91.4047192982456,91.4047192982456,38
Aguadas,2019-12-31,2019,12,93.95626315789474,97.89721052631576,38
Aguadas,2020-01-31,2020,1,83.4522105263158,112.54761403508768,38
Aguadas,2020-02-29,2020,2,54.50870175438595,113.20415789473688,38
Aguadas,2020-03-31,2020,3,87.24340350877189,123.56357894736846,38
Aguadas,2020-04-30,2020,4,111.58205263157896,111.58205263157896,38
Aguadas,2020-05-31,2020,5,105.00061403508772,105.00061403508772,38
Aguadas,2020-06-30,2020,6,102.86680701754388,102.86680701754388,38
Aguadas,2020-07-31,2020,7,103.65038596491227,103.65038596491227,38
Aguadas,2020-08-31,2020,8,106.73475438596492,106.73475438596492,38
Aguadas,2020-09-30,2020,9,108.30696491228068,108.30696491228068,38
Aguadas,2020-10-31,2020,10,103.40071929824563,103.40071929824563,38
Aguadas,2020-11-30,2020,11,95.50617543859649,95.50617543859649,38
Aguadas,2020-12-31,2020,12,96.17887719298244,96.17887719298244,38
Aguadas,2021-01-31,2021,1,53.44524561403509,105.1399298245614,38
Aguadas,2021-02-28,2021,2,94.42640350877193,97.87647368421052,38
Aguadas,2021-03-31,2021,3,106.17494736842104,106.17494736842104,38
Aguadas,2021-04-30,2021,4,96.43684210526315,96.43684210526315,38
Aguadas,2021-05-31,2021,5,96.27852631578948,96.27852631578948,38
Aguadas,2021-06-30,2021,6,94.35810526315788,94.35810526315788,38
Aguadas,2021-07-31,2021,7,102.61528070175436,102.87926315789473,38
Aguadas,2021-08-31,2021,8,103.715649122807,103.715649122807,38
Aguadas,2021-09-30,2021,9,101.46008771929824,101.46008771929824,38
Aguadas,2021-10-31,2021,10,94.28624561403508,94.28624561403508,38
Aguadas,2021-11-30,2021,11,88.94457894736841,88.94457894736841,38
Aguadas,2021-12-31,2021,12,90.7260701754386,90.7260701754386,38
Aguadas,2022-01-31,2022,1,91.28387719298246,93.60073684210526,38
Aguadas,2022-02-28,2022,2,89.4979298245614,89.4979298245614,38
Aguadas,2022-03-31,2022,3,99.4207192982456,99.4207192982456,38
Aguadas,2022-04-30,2022,4,96.2487543859649,96.2487543859649,38
