MpCodigo,MpNombre,MpAltitud,Depto,AREA_HA,DEPARTAMENTO,MUNICIPIO
17873,Villamaria,1944,Caldas,45487.08476701036,CALDAS,VILLAMARIA
17088,Belalcázar,1600,Caldas,11331.640904587004,CALDAS,BELALCAZAR
17174,Chinchiná,1378,Caldas,10932.067247604808,CALDAS,CHINCHINA
17665,San José,1750,Caldas,6096.0310496349475,CALDAS,SAN JOSE
17877,Viterbo,1000,Caldas,11289.618868375816,CALDAS,VITERBO
17524,Palestina,1600,Caldas,11220.389366571348,CALDAS,PALESTINA
17001,Manizales,2126,Caldas,44088.80196228139,CALDAS,MANIZALES
17616,Risaralda,1700,Caldas,8990.593397615505,CALDAS,RISARALDA
17486,Neira,1965,Caldas,36919.936572174636,CALDAS,NEIRA
17042,Anserma,1765,Caldas,20915.969798951057,CALDAS,ANSERMA
17433,Manzanares,2075,Caldas,19780.45155884686,CALDAS,MANZANARES
17444,Marquetalia,1275,Caldas,9027.744029573605,CALDAS,MARQUETALIA
17050,Aranzazu,1908,Caldas,14952.957467768734,CALDAS,ARANZAZU
17446,Marulanda,2825,Caldas,37609.13803168308,CALDAS,MARULANDA
17272,Filadelfia,1575,Caldas,19256.029992960797,CALDAS,FILADELFIA
17388,La Merced,1800,Caldas,8857.738222365362,CALDAS,LA MERCED
17653,Salamina,1793,Caldas,38795.87892120289,CALDAS,SALAMINA
17442,Marmato,1050,Caldas,3685.375171698942,CALDAS,MARMATO
17777,Supia,1184,Caldas,12143.960951340876,CALDAS,SUPIA
17541,Pensilvania,2100,Caldas,49894.37884804246,CALDAS,PENSILVANIA
17614,Riosucio,1783,Caldas,38409.53609974244,CALDAS,RIOSUCIO
17513,Pácora,1814,Caldas,25719.256616540744,CALDAS,PACORA
17867,Victoria,675,Caldas,55846.58530832584,CALDAS,VICTORIA
17013,Aguadas,2181,Caldas,47555.10306694456,CALDAS,AGUADAS
17662,Samaná,1250,Caldas,75768.42516672582,CALDAS,SAMANA
17495,Norcasia,727,Caldas,22737.856761667976,CALDAS,NORCASIA
17380,La Dorada,176,Caldas,54908.28471420554,CALDAS,LA DORADA
