municipio,date,anio,mes,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles
Aguadas,2005-01-31,2005,1,0.6791960196603197,0.7128288727446817,0.0297,0.9985,0.153667030704038,7980.0
Aguadas,2005-02-28,2005,2,0.6947627108068213,0.7324899968342007,0.0376,0.9993,0.14636340276037305,7981.0
Aguadas,2005-03-31,2005,3,0.7353677896007784,0.7577319203472026,0.0487,0.9991,0.11362032875571175,7981.0
Aguadas,2005-04-30,2005,4,0.6834012915607464,0.724797055713527,0.0158,0.9988,0.1472545912684326,7981.0
Aguadas,2005-05-31,2005,5,0.7561829160746025,0.7851110765451769,0.0261,0.9982,0.12447201679998571,7981.0
Aguadas,2005-06-30,2005,6,0.7617037413654679,0.7832427640595776,0.0484,0.9994,0.1102092112285027,7981.0
Aguadas,2005-07-31,2005,7,0.7269130597045588,0.7344269285651945,0.0533,0.9966,0.08441324647334,7981.0
Aguadas,2005-08-31,2005,8,0.6902229938059297,0.7245941078420781,0.0315,0.9994,0.13967104064790636,7981.0
Aguadas,2005-09-30,2005,9,0.6904673240701185,0.7325970175468245,0.0174,0.999,0.14492658865166158,7981.0
Aguadas,2005-10-31,2005,10,0.5825879229483482,0.631312834259995,0.0259,0.9929,0.2136534171793671,7981.0
Aguadas,2005-11-30,2005,11,0.7247433284672733,0.7696101830085299,0.005,0.9967,0.15685046357437193,7980.0
Aguadas,2005-12-31,2005,12,0.7175903432899473,0.7714621424010493,0.0231,0.9988,0.16798095250023798,7970.5
Aguadas,2006-01-31,2006,1,0.7194053496849124,0.7635157240916557,0.0218,0.9983,0.14948486874796846,7978.0
Aguadas,2006-02-28,2006,2,0.7490290489642678,0.7657111144211062,0.0365,0.9929,0.0963206680112412,7981.0
Aguadas,2006-03-31,2006,3,0.622354473215545,0.6483676617027003,0.0163,0.9967,0.2061003669352529,7978.5
Aguadas,2006-04-30,2006,4,0.5200679352167591,0.5408972347818934,0.0305,0.9946,0.18567259184989154,7980.0
Aguadas,2006-05-31,2006,5,0.7167388356061006,0.7792814952559726,0.0311,0.9948,0.1695909679904819,7981.0
Aguadas,2006-06-30,2006,6,0.7621890000318262,0.7773856626765572,0.0739,0.9743,0.0865777872004605,7981.0
Aguadas,2006-07-31,2006,7,0.7318012723871548,0.740175107552868,0.0257,0.9966,0.08896015089468315,7981.0
Aguadas,2006-08-31,2006,8,0.7159310453277021,0.7285600078289739,0.0211,0.9958,0.10464295215425709,7981.0
Aguadas,2006-09-30,2006,9,0.7052504683797465,0.7773043972260113,0.0294,0.9973,0.16534312605588375,7981.0
Aguadas,2006-10-31,2006,10,0.7390286696249279,0.7794399060748374,0.0451,0.9943,0.140042972367207,7981.0
Aguadas,2006-11-30,2006,11,0.6212726137826535,0.7149192893687965,0.0224,0.9987,0.23073057218739212,7980.0
Aguadas,2006-12-31,2006,12,0.6894686194437392,0.7638344595858068,0.0121,0.9962,0.18006530261240414,7970.5
Aguadas,2007-01-31,2007,1,0.7418735683619835,0.7539013753346431,0.0551,0.969,0.1025817882812021,7980.0
Aguadas,2007-02-28,2007,2,0.699929934311845,0.7031620661568017,0.2129,0.9884,0.09712687210698626,7981.0
