municipio,date,anio,mes,precip_mm,precip_mean_mm,precip_max_mm,n_pixeles
Aguadas,2005-12-31,2005,12,2381.3986584376726,6.5037024998048025,46.49587902145366,27.0
Aguadas,2006-12-31,2006,12,2531.5943926625905,6.926494306479353,38.74760493010819,27.0
Aguadas,2007-12-31,2007,12,2660.3525751541006,7.242477852407107,70.68127605348442,27.0
Aguadas,2008-12-31,2008,12,3191.778939644345,8.714073046543211,53.19621708048533,27.0
Aguadas,2009-12-31,2009,12,2173.0982469626842,5.956387277893589,68.45236762666424,27.0
Aguadas,2010-12-31,2010,12,3076.801926522308,8.415972547130805,60.007248496381706,27.0
Aguadas,2011-12-31,2011,12,2939.5845542714374,8.061822832136974,54.76604915262626,27.0
Aguadas,2012-12-31,2012,12,2287.931081736851,6.247606590264943,38.67483600644455,27.0
Aguadas,2013-12-31,2013,12,2331.697349619938,6.393651708878335,41.187440544887295,27.0
Aguadas,2014-12-31,2014,12,1864.9280674112233,5.111507487164678,37.05681301002048,27.0
Aguadas,2015-12-31,2015,12,1707.846710437915,4.671205176767061,40.8333169651828,27.0
Aguadas,2016-12-31,2016,12,2058.39592994937,5.615851671040972,34.83375881014519,27.0
Aguadas,2017-12-31,2017,12,2647.0487637822307,7.232230187345213,60.98266208892955,27.0
Aguadas,2018-12-31,2018,12,2413.0755628020493,6.59913149814519,42.99162002105829,27.0
Aguadas,2019-12-31,2019,12,2119.7400194596594,5.808644277608537,47.67645813042349,27.0
Aguadas,2020-12-31,2020,12,2227.3869644285105,6.08720992720133,43.541836389316174,27.0
Aguadas,2021-12-31,2021,12,2217.2698947536255,6.068112415618098,45.48837770989682,27.0
Aguadas,2022-12-31,2022,12,3066.053614799385,8.404884605712878,76.45126767497639,27.0
Aguadas,2023-12-31,2023,12,2161.1051215929674,5.8927572534603065,50.82001855107266,27.0
Aguadas,2024-12-31,2024,12,2240.17319737584,6.129544466664427,66.57187675132357,27.0
Aguadas,2025-12-31,2025,12,2846.0272328043848,7.887781514948059,105.91505883500956,27.0
Anserma,2005-12-31,2005,12,2292.5708866244468,6.275903705774245,63.98904520007147,16.0
Anserma,2006-12-31,2006,12,2204.242866201677,6.025947003475861,48.69925386511761,16.0
Anserma,2007-12-31,2007,12,2168.859973072107,5.90401922372014,37.790492372374594,16.0
Anserma,2008-12-31,2008,12,2731.116663652641,7.465420933824767,59.439978476261736,16.0
Anserma,2009-12-31,2009,12,1981.6668526129788,5.42902028459059,44.300070645981926,16.0
Anserma,2010-12-31,2010,12,2590.0964994474766,7.083073380339058,70.24723222152045,16.0
Anserma,2011-12-31,2011,12,2576.9196561800914,7.066734746199042,52.71081927534462,16.0
Anserma,2012-12-31,2012,12,1861.4856958662942,5.0809744822907446,47.8129210684956,16.0
Anserma,2013-12-31,2013,12,2134.7545901669623,5.862561709597908,48.36883105291835,16.0
Anserma,2014-12-31,2014,12,1778.4932467609556,4.878765005231801,37.58856860395791,16.0
Anserma,2015-12-31,2015,12,1782.7609498249271,4.877222260281808,45.18479865253835,16.0
Anserma,2016-12-31,2016,12,1722.3285595607063,4.708402787834863,31.327831575697736,16.0
Anserma,2017-12-31,2017,12,2183.357318834913,5.965236324382022,64.41267668793166,16.0
Anserma,2018-12-31,2018,12,2174.9804518505453,5.948685947593185,47.18945549342941,16.0
Anserma,2019-12-31,2019,12,2001.9027591699098,5.490356840957525,55.926863184389845,16.0
Anserma,2020-12-31,2020,12,1993.4648722546167,5.439623283264815,50.32313804958177,16.0
Anserma,2021-12-31,2021,12,2031.3870521484594,5.5707339668294,50.33454496079595,16.0
Anserma,2022-12-31,2022,12,2618.9445342207987,7.181781050628458,78.16320789945297,16.0
Anserma,2023-12-31,2023,12,2001.209448951016,5.459596375644104,51.91703454059103,16.0
Anserma,2024-12-31,2024,12,2141.580416207823,5.85007680222721,77.418854796921,16.0
Anserma,2025-12-31,2025,12,2440.6776868010083,6.767105431930268,91.99131232220194,16.0
Aranzazu,2005-12-31,2005,12,2067.8440028840355,5.657644266027593,61.90144092815751,11.0
Aranzazu,2006-12-31,2006,12,1988.289734920659,5.4358696229748205,50.307184818072805,11.0
Aranzazu,2007-12-31,2007,12,2106.5466677830236,5.732379422071681,72.6176819268126,11.0
Aranzazu,2008-12-31,2008,12,2574.3394097055484,7.027398522543073,59.463849293157296,11.0
Aranzazu,2009-12-31,2009,12,1781.8794011931636,4.886638738371901,54.952800781201226,11.0
Aranzazu,2010-12-31,2010,12,2385.2795654998035,6.5237668698808156,53.41114627972196,11.0
Aranzazu,2011-12-31,2011,12,2442.3281171455164,6.708033690592532,61.856638564088456,11.0
Aranzazu,2012-12-31,2012,12,1710.8879035854106,4.668409034326013,44.02751158449214,11.0
Aranzazu,2013-12-31,2013,12,1941.0564928542306,5.327918955425461,50.72642838535979,11.0
Aranzazu,2014-12-31,2014,12,1595.4506238850347,4.36834271457729,36.75013468745416,11.0
Aranzazu,2015-12-31,2015,12,1638.5821905774046,4.493761496831908,42.40928102377504,11.0
Aranzazu,2016-12-31,2016,12,1687.7807866306346,4.609868873967617,31.02217501954148,11.0
Aranzazu,2017-12-31,2017,12,2187.849335298751,5.977293095259416,54.13294601745116,11.0
Aranzazu,2018-12-31,2018,12,2152.887997916343,5.89480974824394,42.66195942266298,11.0
Aranzazu,2019-12-31,2019,12,2019.8606144232676,5.541426992398769,47.39548799252737,11.0
Aranzazu,2020-12-31,2020,12,1842.1648264365808,5.031207546170522,65.89118521510602,11.0
Aranzazu,2021-12-31,2021,12,1961.0033930107804,5.378261834738055,65.8268103005406,11.0
Aranzazu,2022-12-31,2022,12,2643.98414738514,7.243415642705038,69.3111361421335,11.0
