Municipio,Cluster,Rend_prom,Rend_std,Area_prom_ha,E_Payout,Perdida_Q95,Cobertura_USD_ha,Prima_pura_USD_ha,Prima_comercial_USD_ha,Prima_pct_cobertura
Palestina,2,1.354,0.412,3568.0,0.3155,0.2627,2845.49,897.65,1032.3,36.28
Manizales,1,1.477,0.351,6557.0,0.2133,0.3015,3561.7,759.71,873.66,24.53
Victoria,3,1.149,0.251,1451.0,0.2609,0.2754,2530.4,660.23,759.26,30.01
Riosucio,1,1.103,0.34,3197.0,0.2383,0.3015,2660.22,633.89,728.97,27.4
Villamaria,0,1.072,0.263,1580.0,0.2064,0.3284,2816.32,581.26,668.45,23.73
Neira,1,1.347,0.305,3275.0,0.1776,0.3015,3248.26,576.86,663.39,20.42
Chinchiná,2,1.272,0.226,4414.0,0.203,0.2627,2671.59,542.26,623.6,23.34
Viterbo,2,1.292,0.351,4836.0,0.1956,0.2627,2713.6,530.82,610.44,22.5
Pácora,1,1.008,0.221,2919.0,0.1879,0.3015,2429.83,456.5,524.97,21.61
Marulanda,0,1.062,0.274,1453.0,0.1444,0.3284,2790.05,402.92,463.36,16.61
Filadelfia,2,1.231,0.29,2326.0,0.1302,0.2627,2585.22,336.53,387.01,14.97
Marmato,2,1.093,0.255,4233.0,0.1446,0.2627,2296.93,332.05,381.85,16.62
Supia,2,1.061,0.209,1391.0,0.1412,0.2627,2229.24,314.81,362.03,16.24
San José,2,1.166,0.237,1768.0,0.1206,0.2627,2449.83,295.56,339.9,13.87
Salamina,1,1.071,0.225,2409.0,0.1118,0.3015,2581.19,288.63,331.92,12.86
Aranzazu,1,1.061,0.3,1961.0,0.1097,0.3015,2558.42,280.73,322.84,12.62
Anserma,2,1.154,0.147,5726.0,0.1132,0.2627,2424.15,274.51,315.68,13.02
Marquetalia,3,1.039,0.135,3002.0,0.1025,0.2754,2288.13,234.45,269.62,11.78
Manzanares,1,1.196,0.34,3450.0,0.0809,0.3015,2882.58,233.21,268.19,9.3
Belalcázar,2,1.144,0.291,3149.0,0.0937,0.2627,2403.14,225.07,258.83,10.77
Aguadas,1,1.062,0.162,4145.0,0.0856,0.3015,2559.76,219.2,252.08,9.85
Risaralda,2,1.239,0.253,2562.0,0.083,0.2627,2602.72,215.9,248.29,9.54
La Merced,2,1.093,0.179,2448.0,0.0844,0.2627,2296.93,193.86,222.94,9.71
Pensilvania,1,1.026,0.129,4298.0,0.0521,0.3015,2474.04,128.89,148.23,5.99
Samaná,3,1.035,0.143,3471.0,0.0477,0.2754,2279.56,108.66,124.96,5.48
