Código Dane municipio,Municipio,Año,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
17013,Aguadas,2012,4100.69,2512.92,4092.84,1.63
17013,Aguadas,2013,5098.43,3494.44,6516.41,1.86
17013,Aguadas,2014,5204.1,3668.99,6801.6,1.85
17013,Aguadas,2015,5636.43,3973.78,6931.5,1.74
17013,Aguadas,2016,4311.49,3255.41,6725.06,2.07
17013,Aguadas,2017,3848.4,2711.69,6348.22,2.34
17013,Aguadas,2018,4151.95,3088.34,4167.64,1.35
17042,Anserma,2012,5580.11,3345.4,5460.14,1.63
17042,Anserma,2013,6937.8,4652.07,8693.35,1.87
17042,Anserma,2014,7081.6,4884.43,9073.81,1.86
17042,Anserma,2015,7669.89,5290.2,9247.11,1.75
17042,Anserma,2016,5866.96,4333.85,8971.7,2.07
17042,Anserma,2017,5236.8,3610.0,8468.97,2.35
17042,Anserma,2018,5649.86,4111.43,5559.93,1.35
17050,Aranzazu,2012,1760.87,1125.47,1781.82,1.58
17050,Aranzazu,2013,2189.31,1565.06,2836.91,1.81
17050,Aranzazu,2014,2234.69,1643.24,2961.07,1.8
17050,Aranzazu,2015,2420.33,1779.75,3017.62,1.7
17050,Aranzazu,2016,1851.39,1458.01,2927.75,2.01
17050,Aranzazu,2017,1652.54,1214.49,2763.69,2.28
17050,Aranzazu,2018,1782.88,1383.18,1814.38,1.31
17088,Belalcázar,2012,2894.72,1701.67,2768.81,1.63
17088,Belalcázar,2013,3599.04,2366.32,4408.35,1.86
17088,Belalcázar,2014,3673.63,2484.52,4601.28,1.85
17088,Belalcázar,2015,3978.82,2690.92,4689.15,1.74
17088,Belalcázar,2016,3043.53,2204.46,4549.5,2.06
17088,Belalcázar,2017,2716.63,1836.27,4294.57,2.34
17088,Belalcázar,2018,2930.91,2091.32,2819.41,1.35
17174,Chinchiná,2012,3995.52,2200.34,3648.14,1.66
17174,Chinchiná,2013,4967.67,3059.76,5808.38,1.9
17174,Chinchiná,2014,5070.63,3212.6,6062.58,1.89
17174,Chinchiná,2015,5491.87,3479.48,6178.37,1.78
