Municipio,MpNombre,date,Año,Área sembrada (ha),Área cosechada (ha),Rendimiento (t/ha),Producción (t)
AGUADAS,Aguadas,2007-12-31,2007,4626.0,4173.0,0.97,4063.0
ANSERMA,Anserma,2007-12-31,2007,7125.0,5485.0,1.3,7131.0
ARANZAZU,Aranzazu,2007-12-31,2007,2597.0,2222.0,1.01,2254.0
BELALCAZAR,Belalcázar,2007-12-31,2007,3734.0,3196.0,1.2,3835.0
CHINCHINA,Chinchiná,2007-12-31,2007,5632.0,5631.0,1.63,9203.0
FILADELFIA,Filadelfia,2007-12-31,2007,2787.0,2604.0,1.21,3162.0
LA MERCED,La Merced,2007-12-31,2007,1321.0,1219.0,1.03,1257.0
MANIZALES,Manizales,2007-12-31,2007,9268.0,6424.0,1.69,10848.0
MANZANARES,Manzanares,2007-12-31,2007,3984.0,3731.0,1.0,3743.0
MARMATO,Marmato,2007-12-31,2007,8590.0,6990.0,1.07,745.0
MARQUETALIA,Marquetalia,2007-12-31,2007,4621.0,4178.0,1.07,4471.0
MARULANDA,Marulanda,2007-12-31,2007,2100.0,2050.0,0.72,148.0
NEIRA,Neira,2007-12-31,2007,4332.0,40.0,1.08,4326.0
PACORA,Pácora,2007-12-31,2007,401.0,40.0,1.05,4182.0
PALESTINA,Palestina,2007-12-31,2007,4777.0,44.0,1.4,6160.0
PENSILVANIA,Pensilvania,2007-12-31,2007,5931.0,59.0,1.0,5908.0
RIOSUCIO,Riosucio,2007-12-31,2007,3781.0,3695.0,0.84,3111.0
RISARALDA,Risaralda,2007-12-31,2007,3772.0,275.0,1.3,3575.0
SALAMINA,Salamina,2007-12-31,2007,3064.0,29.0,0.94,2716.0
SAMANA,Samaná,2007-12-31,2007,4628.0,45.0,0.92,4153.0
SAN JOSE,San José,2007-12-31,2007,2264.0,205.0,1.1,2253.0
SUPIA,Supia,2007-12-31,2007,2021.0,192.0,1.01,1938.0
VICTORIA,Victoria,2007-12-31,2007,4250.0,2480.0,1.38,343.0
VILLAMARIA,Villamaria,2007-12-31,2007,1788.0,1593.0,1.57,2508.0
VITERBO,Viterbo,2007-12-31,2007,7460.0,6700.0,1.17,782.0
AGUADAS,Aguadas,2008-12-31,2008,4604.0,4085.0,0.85,3458.0
ANSERMA,Anserma,2008-12-31,2008,6967.0,4985.0,1.2,5982.0
ARANZAZU,Aranzazu,2008-12-31,2008,2409.0,2154.0,0.95,2040.0
BELALCAZAR,Belalcázar,2008-12-31,2008,3754.0,3225.0,1.44,4656.0
CHINCHINA,Chinchiná,2008-12-31,2008,5177.0,4477.0,1.62,7263.0
FILADELFIA,Filadelfia,2008-12-31,2008,2735.0,2132.0,1.39,2959.0
LA MERCED,La Merced,2008-12-31,2008,1217.0,9930.0,0.87,860.0
MANIZALES,Manizales,2008-12-31,2008,8536.0,6379.0,1.52,9706.0
MANZANARES,Manzanares,2008-12-31,2008,4032.0,3705.0,0.97,3577.0
MARMATO,Marmato,2008-12-31,2008,8100.0,8080.0,0.97,781.0
MARQUETALIA,Marquetalia,2008-12-31,2008,4451.0,4247.0,1.07,4528.0
MARULANDA,Marulanda,2008-12-31,2008,2160.0,2090.0,0.72,150.0
NEIRA,Neira,2008-12-31,2008,4332.0,3217.0,1.43,4612.0
PACORA,Pácora,2008-12-31,2008,4064.0,3583.0,1.08,3879.0
PALESTINA,Palestina,2008-12-31,2008,4499.0,4474.0,1.25,5596.0
PENSILVANIA,Pensilvania,2008-12-31,2008,59.0,59.0,1.01,5984.0
RIOSUCIO,Riosucio,2008-12-31,2008,3757.0,3757.0,0.84,3151.0
RISARALDA,Risaralda,2008-12-31,2008,343.0,2895.0,1.2,3474.0
SALAMINA,Salamina,2008-12-31,2008,3066.0,288.0,0.9,2596.0
SAMANA,Samaná,2008-12-31,2008,4576.0,4576.0,0.92,4206.0
SAN JOSE,San José,2008-12-31,2008,2222.0,192.0,1.4,2688.0
SUPIA,Supia,2008-12-31,2008,1952.0,1952.0,1.01,1963.0
VICTORIA,Victoria,2008-12-31,2008,2740.0,2270.0,1.48,336.0
VILLAMARIA,Villamaria,2008-12-31,2008,1746.0,1223.0,1.27,1553.0
VITERBO,Viterbo,2008-12-31,2008,8940.0,8940.0,0.99,886.0
AGUADAS,Aguadas,2009-12-31,2009,4624.0,411.0,1.0,4110.0
ANSERMA,Anserma,2009-12-31,2009,6714.0,4785.0,1.33,6359.0
ARANZAZU,Aranzazu,2009-12-31,2009,2306.0,2086.0,0.87,1825.0
BELALCAZAR,Belalcázar,2009-12-31,2009,3507.0,3464.0,0.96,3308.0
CHINCHINA,Chinchiná,2009-12-31,2009,5052.0,45.0,1.6,7200.0
FILADELFIA,Filadelfia,2009-12-31,2009,2687.0,24.0,1.3,3120.0
LA MERCED,La Merced,2009-12-31,2009,1193.0,109.0,0.9,981.0
MANIZALES,Manizales,2009-12-31,2009,8084.0,723.0,1.44,10411.0
MANZANARES,Manzanares,2009-12-31,2009,3905.0,175.0,0.9,1575.0
MARMATO,Marmato,2009-12-31,2009,7410.0,6000.0,0.9,540.0
MARQUETALIA,Marquetalia,2009-12-31,2009,439.0,421.0,1.0,4210.0
MARULANDA,Marulanda,2009-12-31,2009,2210.0,2100.0,1.0,210.0
NEIRA,Neira,2009-12-31,2009,4159.0,3949.0,1.0,3949.0
