municipio,date,temperature_2m,temperature_2m_min,temperature_2m_max,dewpoint_temperature_2m,total_precipitation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,surface_solar_radiation_downwards_sum,potential_evaporation_sum,total_evaporation_sum,surface_runoff_sum,sub_surface_runoff_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure
Aguadas,2005-01-01,291.804963399896,288.0140904167725,296.4815041615078,289.3300840535459,0.006429083897081842,0.431310321500846,0.4310332114007428,1.6227975438514175E7,-0.009456612865761306,-0.003027860733958701,9.696679132143579E-4,0.0022724783657990825,-0.341389690960892,0.03989851204932312,85026.0665734122
Anserma,2005-01-01,290.45553493750646,287.4627994627671,294.55660405230975,288.78386939364464,0.012678456995767962,0.4169168250879176,0.4174156567969578,1.4599651461190714E7,-0.004430061199228276,-0.002733629687983463,0.0031825066581579672,0.006314069234190403,0.2542349945870748,-0.1519943648784233,83380.96276855783
Aranzazu,2005-01-01,290.8190718446925,286.8436458605225,295.41346146384194,288.6528800479061,0.009284075041135256,0.4293249516060291,0.4307406804628535,1.5891747534562208E7,-0.005409199397216594,-0.0028741982286373813,0.0013361041791890025,0.0047960009856620085,-0.27515972023518975,0.031205642874256513,83999.31972173491
Belalcazar,2005-01-01,291.8457850174037,288.91041342910154,296.1309768789691,290.45858872405694,0.018061409216607524,0.4228695787453693,0.4234478851106698,1.4194078239352047E7,-0.005601514051237214,-0.002860717699238623,0.007802705911638817,0.007237414134029835,0.3063763361406,-0.16067308693831509,86439.54270764237
Chinchina,2005-01-01,290.5997230239714,287.1852649240095,294.8546390210635,289.15613319777356,0.025506445014573442,0.4246935887416974,0.4253434874155096,1.4983604806596266E7,-0.005989647563237037,-0.00300484148303981,0.013006615863769975,0.009335576900564328,0.044785868351884514,-0.07256268249585107,84616.29136021654
Filadelfia,2005-01-01,292.46088059226616,288.5676125105472,296.85506042630004,290.3244037656211,0.011100902089706051,0.4283288305886703,0.42951219158138854,1.5464456404409964E7,-0.004888235776703812,-0.0027219642447319113,0.0024184611986101086,0.005982994785621342,-0.028990369107879964,0.002731755235105269,87183.79996692954
La Dorada,2005-01-01,298.9095700941521,295.0724859995617,304.0441970798445,293.60751646278766,0.0034958572780116773,0.41337860852958297,0.40636237709437156,1.7746257208041143E7,-0.017370181285322077,-0.003642356914294821,2.751419767641601E-4,3.032943705386818E-4,0.6552770451554187,-0.4797713134413997,97755.62752807487
La Merced,2005-01-01,292.584551106388,288.8275781446888,296.9549722842419,290.2948106348728,0.009781774902037096,0.4235440552733137,0.4244159133345993,1.571437473046595E7,-0.004622267949057736,-0.0027269999451574782,0.0026317476064607664,0.004453608738158339,-0.07943338513231904,0.018402013214685584,86874.70945247164
Manizales,2005-01-01,289.7321082757518,285.74721594846454,294.5814779232368,287.8566402021739,0.01432591706560278,0.41737438652393233,0.41811788259242005,1.5773426573227907E7,-0.00649586500518259,-0.0029025303606734026,0.00451844353347414,0.00644820866533227,-0.25355898847362635,0.0262844915239644,82698.03737045678
Manzanares,2005-01-01,287.7614114862282,285.0207399252809,291.74900458284503,284.6057833261337,0.006704263892433848,0.45076681493014265,0.44971686663835486,1.6900366759256314E7,-0.006044056955011625,-0.0030159316968836384,7.041982466397292E-4,0.0025277326057251996,-0.42920482334200827,-0.1154464781426406,77533.15437643182
Marmato,2005-01-01,290.35114504243836,286.930517464536,294.70068910660285,288.06099952432714,0.008900431863955631,0.40825905622382913,0.4084058548617304,1.5675279013399504E7,-0.0055737217033175615,-0.002872235513761381,0.0022209730969912954,0.0037949093592078162,0.010895583982601757,0.033507757506358704,82488.80663448614
Marquetalia,2005-01-01,290.2921376616245,287.2354400301648,294.29712411253416,286.87237904754676,0.0067400272225395675,0.40642801630544895,0.4099929385300735,1.7107410076246336E7,-0.00967077682333103,-0.0030358819308899817,0.0011552361605774507,0.0012249466239357275,-0.17073693537771664,-0.2579933182740297,82572.9726367336
Marulanda,2005-01-01,285.1212697842299,282.1306859064414,289.5645639543394,282.5928892167907,0.00655094225824153,0.4233560015755613,0.4250119760410644,1.6562800794451796E7,-0.0054598699283082055,-0.0030544963139028792,5.776695194930585E-4,0.0025376762264879126,-0.5477005199570832,0.006178689910236675,73051.54395091187
Neira,2005-01-01,289.9349472213739,286.1093366871501,294.5872856050671,287.8600686088201,0.01073410111857701,0.41561408039524894,0.4163434199052868,1.5748182210908486E7,-0.005776209458481791,-0.0028391517469849806,0.0024357722099068732,0.004997023916580797,-0.23796725753856393,0.02530212117225787,82650.10782981185
Norcasia,2005-01-01,295.62157558301965,292.248865115207,300.2032257316506,291.82490680477764,0.004821056193147296,0.37909668287384524,0.3759514575899569,1.754366072290122E7,-0.015351571758205998,-0.003523056731356999,5.132661634656937E-4,9.836745715560075E-4,0.3969840006437763,-0.514168146886974,92168.36534520816
Pacora,2005-01-01,291.4145292437388,287.50899509223603,296.04855877387985,289.0698220467874,0.00764029622248914,0.431232645648676,0.4316512082097062,1.6024589633276738E7,-0.007712966985431307,-0.002909397527432282,0.0018236535953020342,0.002632210728231923,-0.24034797497637608,0.028674553963214538,84493.48456290676
Palestina,2005-01-01,291.42593876481357,287.4240723119021,295.8421947520266,289.7918614526957,0.02024949269017898,0.42373045204470416,0.4243251517265775,1.5049335100082714E7,-0.006627963851240671,-0.0029481664361077336,0.008910417089945923,0.008187981009655891,0.03802199363051152,-0.04752031314593226,86304.7375438695
Pensilvania,2005-01-01,288.22869025329567,285.41966096151134,292.28340492989093,285.42827194435483,0.006493580842995226,0.4368947483052166,0.4384355088924715,1.678634422081448E7,-0.006216265698572681,-0.003053122267932888,0.0010594721490397904,0.0019123031464550137,-0.40922865880490955,-0.1377527868788892,78503.77074556483
Riosucio,2005-01-01,287.76638093500634,284.9968473671436,291.90478972221143,285.9065280084875,0.009294936573660111,0.4032087157996596,0.4029532240096532,1.501020044187462E7,-0.005232235368669329,-0.0030090306301206633,0.0015629231301393417,0.004486879160075941,0.24716063054427545,-0.06747276499399714,77817.83417757603
Risaralda,2005-01-01,290.8227990486529,287.74785433008014,294.95993842636096,289.2596831606368,0.014979047833806504,0.420317430353258,0.42090483624599595,1.4444882839980932E7,-0.005188631202540753,-0.00282719452748063,0.005209971993010809,0.006460142487489266,0.26567693572850337,-0.17168644980686154,84227.06490863691
Salamina,2005-01-01,288.6104793464601,285.0225614595584,293.2078657873464,286.3798936834885,0.007326722620373416,0.4209680687705399,0.42217647781444784,1.6164956023357896E7,-0.006141135424746398,-0.0029761260462395473,0.001027681849682971,0.003112796863119359,-0.40551962779089407,0.016434124061680537,79569.01170889167
