municipio,date,anio,mes,et_real_mm,et_potencial_mm,n_pixeles
Villamaria,2005-01-01,2005,1,71.37426106113458,74.75984945841749,33
Risaralda,2005-01-01,2005,1,100.44926062846581,101.25591497227356,15
Neira,2005-01-01,2005,1,90.04528985507248,90.843115942029,33
Anserma,2005-01-01,2005,1,99.3827130852341,100.70308123249302,21
Manzanares,2005-01-01,2005,1,90.13920574566964,90.13920574566964,18
Aranzazu,2005-01-01,2005,1,87.10441340782124,87.10441340782124,14
Marulanda,2005-01-01,2005,1,77.8365153538051,78.16846906987097,34
Filadelfia,2005-01-01,2005,1,100.02847222222222,101.17955729166667,15
Salamina,2005-01-01,2005,1,84.64107373868046,84.77660629581715,34
Marmato,2005-01-01,2005,1,99.56382488479264,101.43456221198159,7
Supia,2005-01-01,2005,1,98.27616758241761,100.7739010989011,14
Pensilvania,2005-01-01,2005,1,85.56594820384294,85.70359231411864,40
Riosucio,2005-01-01,2005,1,90.39126846220678,90.6447219808862,30
Pácora,2005-01-01,2005,1,93.74174252275684,94.75328348504554,21
Victoria,2005-01-01,2005,1,106.06147173197722,114.48454980556387,39
Aguadas,2005-01-01,2005,1,93.49263157894734,95.10738596491225,38
Samaná,2005-01-01,2005,1,102.11136538673124,102.37536582682364,56
Viterbo,2005-01-01,2005,1,100.52326621923939,102.03035048471291,11
La Merced,2005-01-01,2005,1,98.6777358490566,99.5059433962264,9
Palestina,2005-01-01,2005,1,101.51021625652498,101.52140193885162,12
Chinchiná,2005-01-01,2005,1,99.70114591291062,99.70114591291062,14
La Dorada,2005-01-01,2005,1,105.82035909920877,117.51199026171645,48
Belalcázar,2005-01-01,2005,1,99.51910029498526,101.02735988200591,14
San José,2005-01-01,2005,1,100.22199170124483,101.06500691562935,7
Marquetalia,2005-01-01,2005,1,98.25046468401487,98.25046468401487,11
Norcasia,2005-01-01,2005,1,107.64742647058829,112.96231617647062,24
Manizales,2005-01-01,2005,1,89.27608571970414,89.63339654845439,35
Villamaria,2005-02-01,2005,2,65.35709564898109,66.5563980172572,33
Risaralda,2005-02-01,2005,2,92.09685767097967,92.09685767097967,15
Neira,2005-02-01,2005,2,81.8660552536232,81.8660552536232,33
Anserma,2005-02-01,2005,2,91.98115246098445,91.98115246098445,21
Manzanares,2005-02-01,2005,2,81.93295310519648,81.93295310519648,18
Aranzazu,2005-02-01,2005,2,78.51089385474862,78.51089385474862,14
Marulanda,2005-02-01,2005,2,69.07921673342236,69.07921673342236,34
Filadelfia,2005-02-01,2005,2,93.2697482638889,93.2697482638889,15
Salamina,2005-02-01,2005,2,76.87968952134541,76.87968952134541,34
Marmato,2005-02-01,2005,2,92.74055299539172,92.92119815668204,7
Supia,2005-02-01,2005,2,91.97836538461539,91.97836538461539,14
Pensilvania,2005-02-01,2005,2,77.31874686716793,77.31874686716793,40
Riosucio,2005-02-01,2005,2,82.13464378801046,82.13464378801046,30
Pácora,2005-02-01,2005,2,85.92425227568269,86.19743172951887,21
Victoria,2005-02-01,2005,2,108.80442716123243,108.8943463954532,39
Aguadas,2005-02-01,2005,2,86.82715789473684,87.81031578947368,38
Samaná,2005-02-01,2005,2,96.26150291561231,96.26150291561231,56
Viterbo,2005-02-01,2005,2,91.74593586875469,91.74593586875469,11
La Merced,2005-02-01,2005,2,91.45349056603773,91.45349056603773,9
Palestina,2005-02-01,2005,2,92.17837434750186,92.17837434750186,12
Chinchiná,2005-02-01,2005,2,90.86126814362107,90.86126814362107,14
La Dorada,2005-02-01,2005,2,112.82375228241024,113.74782410225201,48
Belalcázar,2005-02-01,2005,2,92.15744837758113,92.15744837758113,14
San José,2005-02-01,2005,2,92.5319502074689,92.5319502074689,7
Marquetalia,2005-02-01,2005,2,91.9811338289963,91.9811338289963,11
Norcasia,2005-02-01,2005,2,108.31224264705887,108.31610294117651,24
Manizales,2005-02-01,2005,2,80.51117011189076,80.51117011189076,35
Villamaria,2005-03-01,2005,3,84.01294290435104,84.86871672480265,33
Risaralda,2005-03-01,2005,3,111.33900184842884,111.33900184842884,15
Neira,2005-03-01,2005,3,101.94381793478261,101.94381793478261,33
Anserma,2005-03-01,2005,3,110.40088035214089,110.40088035214089,21
Manzanares,2005-03-01,2005,3,104.46996197718633,104.46996197718633,18
Aranzazu,2005-03-01,2005,3,96.9208379888268,96.9208379888268,14
Marulanda,2005-03-01,2005,3,89.1410324877615,89.1410324877615,34
Filadelfia,2005-03-01,2005,3,113.23645833333335,113.23645833333335,15
Salamina,2005-03-01,2005,3,95.75812850366538,95.75812850366538,34
Marmato,2005-03-01,2005,3,112.20230414746545,112.20230414746545,7
Supia,2005-03-01,2005,3,111.87348901098902,111.87348901098902,14
Pensilvania,2005-03-01,2005,3,99.21124477861319,99.21124477861319,40
Riosucio,2005-03-01,2005,3,98.44148566463952,98.44148566463952,30
Pácora,2005-03-01,2005,3,106.34746423927176,106.34746423927176,21
Victoria,2005-03-01,2005,3,131.18797487286866,131.1956027520191,39
Aguadas,2005-03-01,2005,3,106.87229824561408,106.94201754385966,38
Samaná,2005-03-01,2005,3,120.00137528881069,120.00137528881069,56
Viterbo,2005-03-01,2005,3,111.5032811334825,111.5032811334825,11
La Merced,2005-03-01,2005,3,112.38405660377359,112.38405660377359,9
Palestina,2005-03-01,2005,3,113.71648023862788,113.71648023862788,12
Chinchiná,2005-03-01,2005,3,109.88051948051948,109.88051948051948,14
La Dorada,2005-03-01,2005,3,136.45852099817407,136.54009433962267,48
Belalcázar,2005-03-01,2005,3,110.14557522123894,110.14557522123894,14
