municipio,fecha,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles,producto
Villamaria,2005-01-01,0.4683316539401408,0.504226054032928,-0.0763,0.9986,0.2590458708564271,7586,MODIS/061/MOD13Q1
Risaralda,2005-01-01,0.6699248506483445,0.7440114420803784,0.0771,0.9968,0.18973998206746157,1609,MODIS/061/MOD13Q1
Neira,2005-01-01,0.6039230735709751,0.7013558191878458,0.042,0.9959,0.22857224228768835,6262,MODIS/061/MOD13Q1
Anserma,2005-01-01,0.6181854924324677,0.6974651896981445,0.047900000000000005,0.995,0.20789244312583227,3589,MODIS/061/MOD13Q1
Manzanares,2005-01-01,0.6745091740403157,0.7871481158961366,0.0517,0.9981000000000001,0.23547179843632826,3361,MODIS/061/MOD13Q1
Aranzazu,2005-01-01,0.5255713633098227,0.548987815215088,0.0473,0.9968,0.2449735384360671,2577,MODIS/061/MOD13Q1
Marulanda,2005-01-01,0.6045824728286445,0.7167626135139298,0.0207,0.9978,0.2399387247404766,6342,MODIS/061/MOD13Q1
Filadelfia,2005-01-01,0.6870926987150068,0.7402317299739134,0.0499,0.9966,0.16107417747466996,3254,MODIS/061/MOD13Q1
Salamina,2005-01-01,0.6143700186990683,0.7011606764899488,0.040600000000000004,0.9983000000000001,0.21499868340796507,6513,MODIS/061/MOD13Q1
Marmato,2005-01-01,0.6887632318051082,0.743924109589041,0.11950000000000001,0.9307000000000001,0.1744611346869067,671,MODIS/061/MOD13Q1
Supia,2005-01-01,0.6266606531168735,0.7127081286173635,0.0378,0.9890000000000001,0.2139014958016375,2094,MODIS/061/MOD13Q1
Pensilvania,2005-01-01,0.5481806317882593,0.6270938849904313,0.014400000000000001,0.9988,0.2870719780636181,8351,MODIS/061/MOD13Q1
Riosucio,2005-01-01,0.4638459315759561,0.46702857142857146,0.0165,0.9866,0.26037919575744845,6442,MODIS/061/MOD13Q1
Pácora,2005-01-01,0.5902258024159348,0.6814064144736842,0.034300000000000004,0.9968,0.23115645590343448,4328,MODIS/061/MOD13Q1
Victoria,2005-01-01,0.7661638229331802,0.7988388803259803,0.0499,0.9986,0.13120571328005282,9332,MODIS/061/MOD13Q1
Aguadas,2005-01-01,0.684480079899885,0.7285992652561398,0.0297,0.9985,0.17204580733266178,7980,MODIS/061/MOD13Q1
Samaná,2005-01-01,0.5584344861693192,0.5839270018958203,0.0196,0.9981000000000001,0.2563270446938268,12587,MODIS/061/MOD13Q1
Viterbo,2005-01-01,0.7134553890764297,0.7361237701411664,0.0892,0.9905,0.1074908940616353,1972,MODIS/061/MOD13Q1
La Merced,2005-01-01,0.6342207614669285,0.7125815824915827,0.0594,0.9640000000000001,0.20138730231366134,1537,MODIS/061/MOD13Q1
Palestina,2005-01-01,0.7582082928496191,0.787433143500845,0.038,0.9901000000000001,0.1270921474186691,1962,MODIS/061/MOD13Q1
Chinchiná,2005-01-01,0.6842706459936773,0.7786063416911175,-0.1668,0.9872000000000001,0.21318924688449484,1949,MODIS/061/MOD13Q1
La Dorada,2005-01-01,0.7143823234043801,0.7284291911187529,0.0408,0.9913000000000001,0.11189138953596706,9272,MODIS/061/MOD13Q1
Belalcázar,2005-01-01,0.6713995018226272,0.7435765961199294,0.0531,0.9755,0.18710931198610325,1965,MODIS/061/MOD13Q1
San José,2005-01-01,0.6161207864650748,0.7090872933396317,0.0523,0.9755,0.2260071657015712,1096,MODIS/061/MOD13Q1
Marquetalia,2005-01-01,0.694446702356852,0.771048030176027,0.039,0.9982000000000001,0.2088062182248617,1581,MODIS/061/MOD13Q1
Norcasia,2005-01-01,0.7748300943072347,0.8143191004249144,0.0687,0.9981000000000001,0.13574418372738103,3899,MODIS/061/MOD13Q1
Manizales,2005-01-01,0.612738702748975,0.7162230596924565,0.020800000000000003,0.9949,0.23197845774287199,7426,MODIS/061/MOD13Q1
Villamaria,2005-01-17,0.4574272691612373,0.48033680165076126,-0.0835,0.9989,0.2438298778463101,7589,MODIS/061/MOD13Q1
Risaralda,2005-01-17,0.6881987948632262,0.7480911473013887,0.06280000000000001,0.9859,0.17052171689874812,1609,MODIS/061/MOD13Q1
Neira,2005-01-17,0.5859372428838023,0.6735966358353117,0.025400000000000002,0.9978,0.21484382862899845,6262,MODIS/061/MOD13Q1
Anserma,2005-01-17,0.6910541160773542,0.7364408081643911,0.0408,0.9883000000000001,0.161230385310278,3587,MODIS/061/MOD13Q1
Manzanares,2005-01-17,0.48697718243664223,0.49846666666666667,0.0114,0.9993000000000001,0.26759415230739425,3362,MODIS/061/MOD13Q1
Aranzazu,2005-01-17,0.5421584428879311,0.5371192660550459,0.0351,0.9985,0.21894629339804206,2577,MODIS/061/MOD13Q1
Marulanda,2005-01-17,0.5548145967075769,0.6427939393939395,0.0059,0.9978,0.23051817574778613,6342,MODIS/061/MOD13Q1
